website_visits,email_opens,company_size,days_since_signup,converted
11,2,Enterprise,48,No
20,11,Small,41,No
48,5,Enterprise,4,Yes
42,9,Enterprise,58,No
5,9,Small,9,No
22,2,Enterprise,45,No
15,0,Medium,45,No
37,8,Medium,27,Yes
28,0,Medium,14,Yes
19,4,Small,13,No
19,9,Enterprise,13,No
25,11,Medium,14,Yes
8,12,Medium,43,Yes
46,12,Small,15,No
10,5,Small,50,No
5,4,Small,59,No
5,1,Enterprise,45,No
29,0,Small,8,No
42,0,Small,22,No
30,6,Medium,6,Yes
20,3,Enterprise,42,No
49,5,Small,5,No
8,10,Medium,3,Yes
1,3,Enterprise,10,No
44,10,Enterprise,56,No
6,3,Enterprise,52,No
30,8,Small,47,No
40,4,Enterprise,56,No
7,11,Small,34,Yes
2,6,Small,21,No
17,9,Medium,32,Yes
31,4,Enterprise,1,No
36,7,Small,32,No
23,10,Enterprise,15,Yes
34,3,Enterprise,34,No
48,8,Medium,47,No
32,2,Medium,54,No
43,2,Medium,27,Yes
23,5,Enterprise,16,No
28,8,Medium,37,No
12,8,Enterprise,9,Yes
4,11,Enterprise,6,Yes
48,12,Small,23,Yes
29,0,Medium,20,Yes
14,4,Medium,4,No
12,3,Medium,43,No
17,0,Enterprise,6,No
48,3,Medium,37,Yes
48,3,Medium,5,Yes
25,4,Medium,13,Yes
28,3,Small,32,No
46,4,Enterprise,25,Yes
39,4,Small,14,Yes
46,2,Small,58,Yes
14,7,Enterprise,12,Yes
1,12,Small,51,Yes
45,8,Medium,26,Yes
5,9,Small,41,No
33,6,Enterprise,35,Yes
31,1,Small,4,Yes
14,4,Medium,9,Yes
47,6,Small,25,No
49,0,Enterprise,11,Yes
6,0,Enterprise,55,No
9,0,Small,30,No
37,8,Small,51,No
46,10,Small,34,No
28,0,Small,26,No
29,8,Enterprise,17,Yes
32,7,Enterprise,26,Yes
31,4,Small,8,Yes
13,0,Small,43,No
16,4,Small,56,No
11,10,Medium,13,No
5,10,Small,34,No
25,2,Small,1,No
9,10,Enterprise,38,No
30,7,Small,27,No
27,11,Medium,11,Yes
12,5,Enterprise,47,Yes
41,2,Medium,51,Yes
41,12,Medium,47,No
3,12,Small,56,Yes
24,7,Medium,4,No
33,9,Enterprise,31,Yes
10,4,Small,32,Yes
4,4,Small,44,No
47,3,Enterprise,29,Yes
30,11,Small,50,No
28,9,Medium,5,Yes
32,10,Enterprise,54,No
6,4,Small,48,No
26,10,Small,41,No
34,9,Medium,59,Yes
13,9,Small,2,Yes
39,5,Small,51,No
21,9,Small,58,No
13,7,Medium,8,No
31,2,Small,32,No
38,9,Medium,17,No
40,4,Medium,55,Yes
47,9,Enterprise,37,No
34,3,Small,19,No
37,9,Small,14,Yes
7,5,Small,9,No
5,7,Medium,29,No
2,10,Enterprise,53,No
4,2,Small,41,No
27,10,Enterprise,18,Yes
19,12,Enterprise,1,No
1,7,Medium,58,No
21,0,Medium,24,Yes
17,1,Small,7,No
44,5,Medium,37,No
27,7,Medium,43,No
17,8,Enterprise,58,Yes
8,10,Medium,43,No
22,5,Enterprise,3,Yes
1,10,Enterprise,28,Yes
21,6,Medium,30,Yes
45,7,Small,33,Yes
20,1,Enterprise,13,No
37,0,Medium,15,Yes
26,7,Medium,36,Yes
24,8,Small,21,Yes
38,10,Enterprise,34,Yes
42,0,Medium,41,No
29,8,Small,30,Yes
16,9,Medium,33,No
46,4,Medium,25,No
44,11,Small,9,No
14,3,Enterprise,6,No
28,1,Small,52,No
34,7,Enterprise,59,Yes
43,6,Small,30,Yes
38,0,Enterprise,49,No
21,4,Medium,55,No
46,0,Medium,53,No
15,11,Enterprise,2,Yes
9,7,Enterprise,54,No
18,7,Medium,56,No
18,10,Medium,6,Yes
12,6,Enterprise,34,Yes
12,7,Small,26,No
32,2,Enterprise,2,Yes
1,7,Small,57,No
8,4,Enterprise,57,Yes
42,10,Medium,10,Yes
5,6,Small,50,No
37,11,Medium,59,Yes
31,5,Small,12,Yes
7,9,Medium,44,No
38,10,Medium,13,No
45,8,Small,23,Yes
21,11,Small,21,No
6,12,Small,17,No
7,3,Small,39,No
36,0,Medium,44,Yes
7,3,Enterprise,23,No
14,12,Small,57,No
4,11,Enterprise,48,No
35,5,Enterprise,34,Yes
9,8,Small,18,No
26,9,Enterprise,57,Yes
44,0,Small,20,Yes
6,0,Medium,3,No
8,11,Small,28,No
14,3,Small,46,No
16,1,Small,38,No
23,1,Medium,45,No
26,0,Small,46,No
2,7,Medium,45,No
34,9,Enterprise,14,No
13,7,Enterprise,55,Yes
13,6,Small,24,No
41,12,Medium,26,No
2,5,Enterprise,15,No
5,10,Small,32,No
35,8,Medium,1,No
28,2,Enterprise,40,No
43,4,Medium,24,No
1,11,Enterprise,54,Yes
5,11,Small,11,No
13,11,Medium,24,No
21,3,Small,36,No
31,0,Small,31,No
32,1,Enterprise,47,No
34,9,Medium,43,No
10,1,Medium,26,No
39,5,Small,17,No
34,6,Medium,47,Yes
28,1,Small,46,No
48,10,Small,37,No
1,12,Medium,27,Yes
24,5,Enterprise,36,No
14,11,Enterprise,21,No
10,9,Enterprise,52,No
7,8,Small,35,Yes
28,9,Enterprise,48,No
21,12,Enterprise,57,Yes
43,0,Enterprise,14,Yes
14,7,Enterprise,7,No
33,4,Enterprise,55,No
12,11,Small,59,No
20,9,Enterprise,17,Yes
39,8,Small,46,Yes
16,1,Enterprise,7,No
9,11,Medium,42,No
27,9,Small,38,No
13,12,Enterprise,4,Yes
25,8,Enterprise,37,No
7,2,Medium,45,No
29,5,Small,50,No
26,6,Medium,55,No
17,3,Medium,38,No
32,8,Small,46,Yes
39,11,Small,10,No
32,4,Small,17,No
49,4,Enterprise,20,No
5,8,Small,1,No
38,5,Enterprise,30,Yes
11,0,Small,49,No
25,12,Enterprise,32,No
35,4,Enterprise,4,No
9,3,Small,4,No
49,5,Small,53,No
48,4,Small,47,No
20,0,Medium,53,No
28,2,Medium,5,Yes
1,7,Small,44,Yes
35,9,Small,2,No
24,0,Enterprise,56,No
39,10,Small,7,Yes
7,10,Enterprise,4,Yes
34,10,Small,30,Yes
49,11,Small,41,No
22,1,Medium,49,Yes
12,2,Small,58,No
17,2,Medium,37,No
38,12,Small,50,Yes
10,7,Small,32,No
44,9,Enterprise,36,No
29,10,Small,22,No
34,3,Medium,6,No
48,8,Small,5,No
23,2,Medium,43,No
3,7,Medium,27,Yes
44,10,Enterprise,27,Yes
26,5,Medium,10,No
25,1,Small,47,Yes
24,6,Small,51,No
29,7,Small,41,No
35,4,Small,57,No
49,5,Enterprise,59,No
42,3,Enterprise,59,No
26,0,Enterprise,40,No
18,12,Medium,37,Yes
28,5,Medium,10,No
17,8,Small,32,No
11,5,Medium,24,No
5,5,Small,50,No
11,6,Small,23,No
26,9,Medium,20,No
38,9,Medium,47,Yes
28,11,Medium,13,No
10,12,Medium,34,Yes
4,5,Medium,16,No
46,8,Enterprise,22,No
4,2,Small,23,No
32,1,Enterprise,58,No
25,0,Enterprise,12,No
11,11,Small,14,Yes
12,0,Medium,7,No
3,2,Small,5,No
6,12,Small,49,Yes
17,9,Small,55,No
4,12,Medium,55,No
1,8,Small,24,Yes
2,7,Medium,20,No
1,7,Small,40,Yes
20,11,Enterprise,22,No
28,0,Small,4,No
25,9,Small,15,No
12,7,Enterprise,22,No
22,12,Enterprise,2,Yes
25,5,Enterprise,6,Yes
37,8,Medium,42,No
10,1,Small,24,No
47,7,Small,52,No
14,6,Small,22,No
22,11,Enterprise,58,No
22,0,Enterprise,46,Yes
8,4,Enterprise,56,No
43,3,Medium,40,No
8,5,Small,10,No
41,9,Enterprise,28,Yes
2,1,Small,36,No
42,12,Medium,54,Yes
9,2,Medium,22,Yes
29,8,Small,5,No
48,0,Medium,34,No
49,7,Medium,14,No
34,0,Medium,27,Yes
3,0,Small,17,No
46,10,Medium,32,No
48,1,Enterprise,8,Yes
8,6,Enterprise,47,No
49,6,Enterprise,16,No
14,5,Small,57,No
8,10,Enterprise,22,No
27,4,Enterprise,9,No
9,6,Small,57,No
44,8,Medium,4,No
10,1,Medium,7,Yes
29,3,Small,36,No
26,6,Medium,6,Yes
9,2,Medium,9,No
40,6,Enterprise,3,Yes
24,4,Enterprise,54,No
33,0,Small,9,No
3,2,Enterprise,21,No
13,3,Medium,30,No
32,12,Small,30,Yes
35,0,Small,28,Yes
33,4,Medium,55,No
10,6,Small,49,Yes
26,4,Medium,51,No
2,5,Small,43,No
25,1,Small,48,No
27,4,Small,43,Yes
31,9,Enterprise,8,Yes
36,7,Enterprise,50,Yes
38,1,Medium,30,No
15,6,Small,7,Yes
15,10,Medium,7,No
27,0,Enterprise,23,No
41,2,Medium,43,No
38,7,Small,17,No
23,6,Medium,30,No
19,7,Enterprise,5,Yes
2,2,Small,33,No
42,2,Medium,38,Yes
33,10,Medium,51,Yes
29,8,Enterprise,8,No
35,2,Enterprise,26,No
39,4,Small,32,Yes
47,3,Enterprise,9,No
31,0,Enterprise,56,No
28,12,Medium,14,Yes
33,0,Medium,7,No
35,9,Medium,7,No
40,4,Enterprise,51,Yes
24,2,Small,30,Yes
19,1,Medium,54,No
28,10,Enterprise,36,Yes
37,7,Medium,25,Yes
37,10,Enterprise,32,Yes
11,8,Medium,37,Yes
14,3,Small,55,Yes
19,11,Small,10,No
29,8,Medium,20,Yes
45,10,Small,42,No
12,9,Small,48,Yes
34,3,Medium,5,No
38,6,Enterprise,45,No
14,9,Enterprise,34,Yes
43,5,Medium,47,No
4,2,Medium,6,No
20,7,Enterprise,50,No
29,12,Small,40,Yes
5,4,Small,18,No
4,12,Enterprise,50,Yes
8,11,Medium,41,No
40,2,Medium,20,Yes
26,9,Medium,33,No
11,7,Enterprise,49,No
17,6,Small,12,No
27,4,Small,56,No
6,3,Enterprise,56,No
27,0,Small,55,No
19,5,Enterprise,28,No
20,11,Medium,49,No
23,0,Small,55,No
31,7,Small,45,Yes
23,0,Medium,56,Yes
13,12,Medium,10,No
8,5,Enterprise,42,No
47,8,Enterprise,22,Yes
34,10,Medium,18,No
3,2,Enterprise,7,No
49,9,Medium,34,No
18,10,Enterprise,22,No
21,4,Medium,53,No
3,1,Medium,23,No
1,9,Enterprise,13,No
32,8,Small,2,Yes
3,1,Medium,25,No
20,12,Medium,4,Yes
7,8,Medium,47,Yes
17,5,Medium,48,No
48,11,Medium,15,No
14,10,Small,52,Yes
35,6,Enterprise,19,No
14,12,Enterprise,56,Yes
5,8,Small,13,No
17,3,Small,6,No
10,2,Medium,10,Yes
11,9,Small,40,No
29,9,Medium,3,Yes
32,9,Small,16,No
19,6,Medium,43,No
15,7,Small,30,Yes
2,8,Small,32,No
26,12,Enterprise,14,Yes
28,10,Small,16,No
20,1,Small,45,No
31,1,Enterprise,16,No
34,8,Enterprise,23,No
33,6,Medium,17,No
45,7,Small,14,No
32,12,Enterprise,57,Yes
29,3,Small,14,No
9,3,Medium,24,No
47,10,Enterprise,33,Yes
42,2,Medium,27,No
3,1,Enterprise,36,No
41,1,Small,48,No
33,2,Enterprise,58,No
22,5,Medium,1,No
19,0,Small,30,No
6,8,Medium,6,Yes
21,7,Medium,18,Yes
23,3,Enterprise,38,No
4,3,Medium,55,No
39,11,Enterprise,11,No
23,8,Medium,50,Yes
49,11,Medium,54,No
8,8,Enterprise,43,Yes
6,9,Medium,44,No
10,9,Enterprise,27,No
6,5,Small,24,No
12,9,Small,24,No
38,2,Medium,1,Yes
28,10,Enterprise,10,Yes
21,4,Enterprise,53,Yes
5,3,Small,15,No
37,9,Enterprise,19,Yes
30,7,Small,59,Yes
20,4,Medium,6,Yes
46,1,Medium,30,No
20,12,Enterprise,4,Yes
39,6,Medium,23,No
49,7,Small,54,No
2,3,Small,49,No
1,8,Enterprise,54,No
3,10,Enterprise,38,Yes
1,8,Enterprise,54,Yes
39,12,Enterprise,12,Yes
7,1,Enterprise,9,No
40,4,Medium,13,Yes
35,10,Enterprise,50,Yes
36,2,Enterprise,4,Yes
49,8,Enterprise,18,No
18,11,Small,48,Yes
2,4,Small,25,No
44,12,Medium,39,Yes
35,2,Medium,24,No
12,10,Enterprise,33,Yes
30,2,Enterprise,8,No
25,4,Medium,19,No
45,2,Enterprise,7,Yes
18,8,Medium,20,No
37,7,Small,52,Yes
41,0,Medium,55,No
27,1,Medium,26,No
43,6,Enterprise,1,Yes
27,7,Small,44,Yes
24,4,Medium,11,Yes
28,5,Medium,6,No
2,12,Enterprise,46,No
24,11,Medium,43,Yes
41,8,Medium,36,Yes
40,8,Medium,18,No
9,3,Medium,35,No
24,6,Small,54,Yes
6,7,Medium,47,No
44,7,Small,25,No
31,1,Medium,23,No
41,12,Enterprise,51,Yes
43,0,Small,11,No
38,6,Medium,53,Yes
48,9,Medium,41,Yes
13,2,Medium,7,No
12,6,Enterprise,45,Yes
4,8,Small,8,Yes
27,7,Medium,41,Yes
3,4,Small,19,No
19,2,Small,18,No
46,6,Enterprise,8,Yes
32,4,Enterprise,25,No
19,1,Medium,53,No
5,5,Small,50,No
19,4,Enterprise,32,Yes
43,11,Small,24,Yes
49,2,Medium,10,No
28,10,Enterprise,54,Yes
12,10,Enterprise,42,No
47,11,Medium,54,No
46,12,Medium,44,Yes
30,8,Medium,56,Yes
38,0,Medium,21,No
11,5,Small,31,No
17,6,Small,27,No
30,4,Small,45,Yes
47,6,Medium,48,Yes
1,9,Enterprise,57,No
47,5,Enterprise,34,No
11,5,Medium,42,No
24,8,Enterprise,4,Yes
20,8,Small,24,No
12,5,Medium,41,No
15,7,Medium,13,No
24,7,Small,45,No
46,6,Enterprise,48,Yes
11,10,Medium,12,No
16,7,Medium,31,No
17,9,Medium,21,No
26,10,Small,10,Yes
31,10,Medium,43,Yes
47,3,Small,9,No
44,11,Small,17,Yes
23,12,Medium,55,Yes
35,3,Small,28,No
39,0,Enterprise,12,No
7,2,Medium,28,No
21,4,Enterprise,7,No
1,5,Small,11,No
22,6,Small,56,Yes
30,4,Medium,5,No
18,9,Enterprise,5,Yes
46,4,Enterprise,46,Yes
33,3,Enterprise,46,No
4,2,Small,7,Yes
14,0,Enterprise,36,No
14,10,Small,7,No
38,11,Medium,48,Yes
36,6,Enterprise,49,No
35,6,Medium,58,Yes
7,9,Medium,58,Yes
22,0,Small,1,No
15,10,Small,51,Yes
8,3,Enterprise,58,No
40,9,Enterprise,37,Yes
30,6,Medium,14,Yes
38,8,Enterprise,24,Yes
26,3,Small,6,No
35,7,Medium,26,No
45,2,Enterprise,48,No
22,8,Medium,32,Yes
19,10,Enterprise,42,Yes
48,7,Small,38,No
33,11,Enterprise,47,Yes
42,2,Enterprise,38,No
11,3,Medium,45,No
23,8,Enterprise,30,No
6,2,Medium,1,No
34,5,Medium,40,No
5,7,Enterprise,49,Yes
3,3,Small,18,No
12,11,Enterprise,47,Yes
8,4,Small,22,No
17,11,Medium,42,No
23,6,Enterprise,6,No
21,10,Small,15,No
33,4,Enterprise,33,Yes
10,7,Medium,37,No
10,4,Medium,49,No
18,4,Enterprise,41,Yes
9,0,Small,20,No
29,4,Enterprise,30,No
20,10,Medium,9,No
40,8,Medium,4,No
37,7,Enterprise,59,Yes
4,11,Small,33,No
5,10,Medium,13,No
31,1,Medium,48,No
43,8,Enterprise,10,Yes
19,10,Medium,19,No
35,10,Enterprise,55,Yes
31,1,Small,3,No
36,3,Medium,3,Yes
28,5,Medium,41,No
33,4,Enterprise,21,No
6,8,Enterprise,40,No
13,5,Enterprise,48,No
16,11,Medium,54,No
26,12,Small,9,Yes
30,3,Enterprise,48,No
47,6,Enterprise,25,Yes
19,0,Medium,2,Yes
48,4,Medium,8,No
16,6,Medium,17,Yes
33,12,Medium,51,Yes
36,12,Medium,20,Yes
43,10,Enterprise,55,No
40,8,Medium,43,Yes
15,4,Medium,42,No
8,5,Small,44,No
5,8,Medium,46,Yes
49,0,Enterprise,4,Yes
20,5,Small,42,No
8,5,Medium,10,No
34,2,Enterprise,55,No
17,6,Enterprise,58,Yes
16,10,Enterprise,38,Yes
12,3,Small,49,No
39,9,Small,21,No
42,0,Enterprise,23,No
37,10,Small,9,Yes
46,9,Medium,1,No
24,3,Enterprise,50,Yes
29,7,Medium,29,Yes
44,2,Enterprise,11,No
48,11,Medium,56,No
14,9,Medium,15,Yes
27,10,Enterprise,37,Yes
24,8,Small,4,Yes
26,10,Medium,19,Yes
14,6,Small,17,No
26,12,Enterprise,20,Yes
4,2,Enterprise,8,No
35,11,Enterprise,24,Yes
40,11,Enterprise,13,No
13,0,Enterprise,39,No
10,5,Small,32,No
40,6,Small,25,No
28,11,Medium,34,Yes
13,11,Small,33,No
30,1,Small,48,No
21,6,Small,39,No
24,2,Small,2,No
33,12,Small,30,No
10,10,Small,28,No
44,6,Medium,59,No
17,0,Small,51,No
5,4,Medium,56,No
16,5,Medium,49,No
17,9,Medium,42,No
14,9,Medium,51,No
39,10,Medium,51,No
46,0,Small,19,No
23,0,Medium,21,No
14,7,Small,18,Yes
37,5,Medium,2,No
10,1,Enterprise,26,Yes
29,6,Small,15,No
14,10,Medium,15,Yes
12,5,Small,34,No
15,4,Small,56,No
35,7,Small,29,No
20,4,Medium,15,No
40,4,Medium,14,No
49,9,Small,26,No
25,12,Enterprise,2,Yes
18,3,Enterprise,2,Yes
42,1,Enterprise,11,No
2,2,Enterprise,24,No
46,2,Small,44,No
43,10,Enterprise,54,No
29,3,Medium,27,No
35,7,Small,21,No
7,6,Medium,55,No
34,7,Medium,51,No
39,11,Enterprise,56,No
14,8,Small,32,Yes
29,4,Enterprise,3,No
29,7,Small,24,No
23,12,Medium,53,Yes
22,8,Medium,5,No
13,4,Small,16,Yes
36,7,Medium,53,No
2,4,Enterprise,5,No
38,6,Medium,12,Yes
7,3,Small,11,No
39,4,Enterprise,35,Yes
29,3,Small,44,Yes
13,4,Enterprise,49,No
2,11,Medium,54,No
5,3,Medium,57,No
47,2,Small,59,No
48,3,Enterprise,6,Yes
19,9,Small,46,No
38,2,Enterprise,5,No
23,10,Enterprise,12,Yes
11,11,Small,33,Yes
25,12,Enterprise,1,Yes
20,0,Small,5,Yes
48,5,Medium,24,No
15,11,Medium,58,No
44,4,Medium,18,Yes
7,6,Small,56,No
5,1,Small,1,No
23,11,Small,36,No
35,0,Enterprise,4,No
49,2,Small,35,No
17,3,Small,40,No
8,7,Medium,52,Yes
44,0,Small,37,No
42,1,Medium,29,Yes
22,10,Small,28,Yes
40,6,Small,36,Yes
48,3,Medium,12,Yes
43,12,Medium,48,No
43,4,Small,34,No
34,11,Small,7,No
42,7,Enterprise,26,Yes
24,2,Enterprise,31,No
34,3,Enterprise,43,Yes
32,7,Enterprise,30,Yes
44,6,Enterprise,42,Yes
6,8,Medium,49,No
46,2,Small,44,No
19,5,Small,53,No
33,3,Small,25,Yes
29,4,Medium,30,No
5,11,Enterprise,3,No
18,10,Small,9,Yes
40,9,Enterprise,2,Yes
24,1,Small,26,No
11,7,Small,52,No
31,4,Medium,36,No
38,3,Enterprise,50,No
3,5,Small,46,No
30,4,Enterprise,42,No
46,4,Small,58,No
23,1,Small,48,No
25,10,Enterprise,37,Yes
48,5,Medium,26,No
29,10,Small,38,Yes
3,12,Medium,30,Yes
44,9,Medium,3,Yes
13,3,Medium,1,Yes
33,2,Small,4,No
14,6,Medium,26,No
11,10,Medium,17,Yes
8,4,Medium,34,No
23,8,Medium,44,No
40,4,Enterprise,7,Yes
34,12,Medium,11,No
18,8,Enterprise,44,Yes
26,6,Small,32,No
3,3,Small,49,No
47,10,Enterprise,27,No
49,9,Medium,10,Yes
45,8,Medium,21,Yes
12,4,Small,31,No
26,4,Enterprise,28,Yes
1,8,Enterprise,52,No
27,3,Small,45,Yes
42,1,Small,23,No
32,2,Enterprise,38,Yes
42,0,Enterprise,15,No
34,12,Medium,56,No
31,1,Medium,26,No
18,9,Medium,19,No
34,8,Medium,13,Yes
4,4,Enterprise,45,No
16,6,Small,16,Yes
46,12,Enterprise,15,Yes
28,7,Small,56,No
37,10,Medium,36,Yes
44,8,Medium,6,Yes
10,5,Medium,49,No
18,1,Enterprise,43,No
6,0,Small,15,No
20,0,Small,10,No
4,7,Enterprise,42,No
15,9,Small,21,Yes
33,12,Small,45,No
26,6,Enterprise,41,No
24,9,Medium,26,Yes
37,8,Medium,44,No
43,4,Medium,7,No
32,9,Enterprise,9,Yes
32,10,Medium,22,No
7,0,Medium,16,No
45,1,Medium,22,No
17,2,Small,18,No
32,4,Medium,22,No
15,8,Enterprise,18,Yes
40,9,Enterprise,25,Yes
33,2,Small,36,No
37,3,Small,24,Yes
37,9,Enterprise,36,Yes
22,5,Medium,13,No
14,3,Small,53,No
24,1,Small,54,No
8,4,Small,12,No
6,2,Enterprise,2,Yes
18,3,Small,16,No
27,8,Small,11,No
18,3,Medium,48,No
21,0,Small,3,No
31,2,Small,52,No
20,7,Enterprise,46,Yes
13,10,Medium,2,Yes
1,1,Enterprise,10,Yes
40,10,Enterprise,1,Yes
43,10,Medium,18,Yes
3,0,Medium,14,No
7,0,Small,20,No
49,11,Medium,11,No
29,11,Medium,33,No
17,2,Enterprise,2,No
40,4,Small,41,Yes
30,2,Medium,22,No
10,1,Small,29,No
46,10,Medium,50,Yes
46,4,Enterprise,22,No
49,3,Enterprise,25,Yes
43,1,Medium,14,No
40,11,Medium,16,No
41,4,Small,14,No
22,8,Small,26,No
26,8,Small,59,Yes
24,8,Enterprise,6,Yes
17,4,Small,17,Yes
4,7,Enterprise,43,Yes
3,3,Small,6,No
28,2,Medium,55,Yes
16,2,Medium,28,No
13,0,Medium,11,No
