first_order_value,orders_first_90_days,subscription_status,referral_count,segment
33.35,10,Subscriber,5,Premium
15.09,7,Subscriber,0,Standard
101.93,2,One-Time,1,Standard
41.84,8,One-Time,5,Standard
98.07,5,Subscriber,1,Premium
89.84,6,One-Time,2,Standard
146.59,8,Subscriber,1,Premium
124.75,8,Subscriber,3,Premium
75.95,11,One-Time,5,Premium
70.8,5,Subscriber,3,Premium
15.24,11,Subscriber,1,Standard
111.47,5,Subscriber,1,Premium
77.52,10,One-Time,3,Premium
142.88,10,One-Time,3,Premium
83.18,4,Subscriber,0,Premium
99.44,11,One-Time,0,Premium
33.12,5,Subscriber,0,Standard
17.93,3,One-Time,4,Standard
68.86,7,Subscriber,4,Premium
88.49,1,Subscriber,3,Premium
86.6,9,One-Time,4,Premium
106.42,10,Subscriber,2,Premium
122.34,10,One-Time,4,Premium
27.05,9,One-Time,5,Standard
111.1,11,One-Time,4,Premium
137.42,3,Subscriber,4,Premium
92.67,11,One-Time,0,Premium
61.91,10,Subscriber,0,Premium
32.81,10,One-Time,5,Standard
89.8,8,Subscriber,0,Premium
115.79,2,Subscriber,2,Premium
91.15,11,One-Time,1,Premium
80,7,One-Time,0,Standard
133.36,11,One-Time,5,Premium
47.29,5,One-Time,5,Standard
126.87,5,One-Time,4,Premium
48.76,10,Subscriber,3,Premium
77.06,9,Subscriber,4,Premium
64.56,2,Subscriber,0,Standard
84.25,4,Subscriber,4,Premium
99.67,9,Subscriber,4,Premium
60.69,4,Subscriber,2,Premium
29.87,2,One-Time,2,Budget
96.46,6,One-Time,2,Premium
30.04,6,Subscriber,4,Premium
28.35,4,One-Time,2,Budget
79.41,11,Subscriber,3,Premium
79.13,6,Subscriber,3,Premium
38.6,6,Subscriber,0,Standard
45.32,3,One-Time,2,Standard
19.76,5,Subscriber,5,Standard
35.81,7,One-Time,5,Premium
20.91,7,One-Time,5,Standard
31.83,11,Subscriber,0,Standard
25.6,2,Subscriber,0,Standard
99.66,5,Subscriber,3,Premium
134.47,7,Subscriber,2,Premium
19.83,11,Subscriber,3,Standard
137.05,10,Subscriber,4,Premium
97.52,7,Subscriber,0,Premium
46.73,11,One-Time,0,Standard
134.38,3,One-Time,1,Standard
112.93,6,Subscriber,0,Premium
79.32,3,Subscriber,2,Standard
38.98,8,One-Time,0,Standard
45.4,8,Subscriber,5,Premium
21.16,3,Subscriber,2,Standard
145.67,11,Subscriber,4,Premium
128.85,1,Subscriber,1,Standard
70.81,8,Subscriber,4,Premium
69.55,2,One-Time,0,Standard
87.5,3,One-Time,4,Premium
41.16,9,One-Time,1,Standard
78.9,6,One-Time,3,Standard
84.23,11,One-Time,4,Premium
30.4,7,One-Time,3,Premium
87.13,5,One-Time,1,Standard
133.78,5,Subscriber,3,Premium
117.71,5,One-Time,0,Standard
28.44,2,One-Time,4,Standard
144,11,One-Time,4,Premium
76.77,5,Subscriber,4,Premium
138.95,8,One-Time,4,Premium
125.81,2,One-Time,3,Standard
19.97,5,Subscriber,4,Standard
33.58,5,One-Time,1,Budget
16.45,8,One-Time,4,Standard
88.53,8,One-Time,5,Premium
76.39,4,Subscriber,5,Premium
27.42,5,One-Time,0,Budget
147.37,4,Subscriber,1,Premium
85.77,10,One-Time,3,Premium
20.58,9,One-Time,4,Standard
42.5,11,Subscriber,4,Premium
29.96,4,One-Time,2,Budget
106.42,3,Subscriber,4,Premium
112.05,8,One-Time,4,Premium
109.41,4,Subscriber,5,Premium
104.82,9,Subscriber,4,Premium
107.12,7,One-Time,0,Premium
36.53,3,One-Time,3,Standard
105.51,5,One-Time,1,Standard
56.91,7,Subscriber,2,Premium
65.86,2,Subscriber,3,Standard
130.05,6,Subscriber,1,Premium
63.72,1,Subscriber,1,Standard
26.37,8,Subscriber,5,Premium
87.09,8,Subscriber,1,Premium
49.25,4,Subscriber,3,Standard
23.32,6,One-Time,2,Standard
86.24,6,One-Time,0,Standard
102.95,9,One-Time,4,Premium
96.12,5,One-Time,5,Premium
96.44,5,Subscriber,2,Premium
107.02,1,One-Time,0,Standard
82.3,4,One-Time,0,Standard
136.67,3,One-Time,2,Standard
89.95,9,Subscriber,5,Premium
114.02,1,Subscriber,0,Standard
130.09,7,Subscriber,3,Premium
101.99,1,Subscriber,3,Premium
77.6,8,One-Time,1,Standard
54.3,1,One-Time,5,Standard
63.47,9,Subscriber,0,Premium
124.26,4,One-Time,0,Standard
102.18,8,One-Time,1,Premium
138.1,2,Subscriber,3,Premium
135.37,10,Subscriber,2,Premium
134.41,1,One-Time,2,Standard
104.52,6,One-Time,5,Premium
23.1,4,Subscriber,5,Standard
65.02,5,Subscriber,2,Standard
123.81,10,Subscriber,1,Premium
35.85,10,One-Time,4,Standard
86.23,9,One-Time,4,Premium
120.59,5,Subscriber,0,Premium
31.29,2,One-Time,4,Standard
98.66,1,Subscriber,5,Premium
78.35,6,One-Time,5,Standard
15.32,7,One-Time,4,Standard
120.37,7,One-Time,2,Premium
54.41,5,Subscriber,1,Premium
148.59,3,Subscriber,0,Standard
102.96,11,One-Time,2,Premium
34.27,8,Subscriber,0,Premium
19.61,3,One-Time,1,Budget
44.89,9,Subscriber,0,Standard
84.66,5,Subscriber,5,Premium
45.44,7,One-Time,5,Premium
48.76,2,One-Time,3,Standard
24.94,10,Subscriber,5,Premium
28.4,6,One-Time,3,Standard
26.13,6,Subscriber,3,Standard
40.76,10,Subscriber,2,Premium
46.59,6,One-Time,5,Standard
84.98,9,Subscriber,1,Premium
130.99,8,Subscriber,1,Premium
57.37,8,One-Time,2,Standard
148.75,8,One-Time,5,Premium
118.04,5,Subscriber,0,Premium
71.3,11,Subscriber,5,Premium
96.85,2,Subscriber,0,Standard
56.13,4,One-Time,5,Standard
71.8,3,One-Time,0,Standard
88.37,4,One-Time,4,Premium
89.69,7,One-Time,2,Premium
28.41,7,Subscriber,3,Standard
134.09,5,Subscriber,3,Premium
42.76,4,Subscriber,0,Standard
105.49,2,One-Time,5,Standard
92.91,6,Subscriber,4,Premium
28.57,2,Subscriber,0,Budget
147.56,3,One-Time,1,Standard
116.43,3,One-Time,4,Standard
146,9,Subscriber,0,Premium
42.66,11,One-Time,2,Standard
67.11,9,Subscriber,1,Premium
97.01,4,Subscriber,3,Premium
114.7,1,Subscriber,2,Standard
145.71,5,Subscriber,5,Premium
72.51,4,Subscriber,4,Premium
123.61,2,Subscriber,2,Premium
35.59,5,One-Time,5,Standard
42.82,3,One-Time,4,Standard
67.58,10,Subscriber,4,Premium
145.99,5,One-Time,0,Standard
128.09,9,One-Time,5,Premium
27.77,8,Subscriber,0,Standard
73.63,3,One-Time,4,Standard
55.72,1,Subscriber,4,Premium
114.78,8,Subscriber,2,Premium
90.66,1,Subscriber,1,Standard
67.17,4,Subscriber,1,Premium
66.82,8,One-Time,1,Standard
81.26,10,One-Time,1,Premium
36.44,11,One-Time,4,Standard
140.55,11,Subscriber,1,Premium
40.57,5,Subscriber,5,Standard
26.33,4,Subscriber,5,Standard
26.89,2,One-Time,4,Standard
93.73,1,Subscriber,0,Standard
128.36,1,Subscriber,2,Premium
96.33,6,One-Time,0,Standard
68.51,4,One-Time,4,Premium
148.18,6,Subscriber,0,Premium
35.86,9,One-Time,0,Standard
15.84,3,One-Time,0,Budget
133.56,9,One-Time,5,Premium
31.5,3,One-Time,5,Standard
95.51,8,Subscriber,4,Premium
124.02,4,One-Time,5,Premium
31.99,10,Subscriber,3,Premium
19.97,6,Subscriber,2,Standard
60.68,8,Subscriber,3,Premium
97.98,4,One-Time,0,Standard
113.5,7,Subscriber,3,Premium
78.32,9,One-Time,1,Standard
106.84,3,One-Time,3,Standard
146.41,8,Subscriber,4,Premium
101.69,2,One-Time,5,Standard
132.98,3,Subscriber,2,Standard
78.11,5,One-Time,1,Standard
91.82,7,One-Time,3,Premium
47.53,8,One-Time,0,Standard
24.91,10,One-Time,0,Standard
145.68,11,Subscriber,2,Premium
92.32,1,Subscriber,1,Standard
52.29,4,Subscriber,0,Standard
47.36,4,One-Time,4,Standard
61.59,1,One-Time,0,Budget
145.9,4,Subscriber,3,Premium
145.82,4,Subscriber,0,Premium
81.8,4,One-Time,1,Standard
90.67,3,Subscriber,3,Premium
139.65,4,One-Time,2,Standard
121.84,4,Subscriber,1,Premium
140.13,3,Subscriber,5,Premium
51.36,7,One-Time,1,Standard
15.16,11,Subscriber,5,Standard
136.43,8,Subscriber,2,Premium
26.83,9,Subscriber,4,Premium
104.22,6,One-Time,3,Premium
99.01,1,Subscriber,0,Standard
51.72,4,One-Time,0,Standard
143.19,6,Subscriber,2,Premium
148.61,1,One-Time,1,Standard
31.01,1,One-Time,5,Standard
37.6,1,Subscriber,2,Standard
116.6,7,Subscriber,5,Premium
139.53,9,Subscriber,3,Premium
90.79,1,Subscriber,2,Standard
93.25,8,One-Time,1,Premium
100.68,7,One-Time,2,Premium
98.74,4,Subscriber,0,Premium
50.58,1,Subscriber,4,Standard
58,4,Subscriber,5,Premium
43.55,9,Subscriber,1,Premium
26.08,9,Subscriber,3,Premium
82.19,3,Subscriber,0,Premium
37.52,10,One-Time,3,Premium
95.98,7,Subscriber,2,Premium
87.64,10,Subscriber,1,Premium
48.02,5,One-Time,4,Standard
126.68,3,One-Time,5,Standard
126.49,11,One-Time,4,Premium
21.28,11,Subscriber,5,Standard
80.99,7,One-Time,0,Premium
104.82,8,One-Time,3,Premium
40.25,4,Subscriber,3,Standard
24.01,4,Subscriber,4,Standard
142.03,3,One-Time,2,Standard
96.62,10,Subscriber,5,Premium
89.46,9,One-Time,0,Premium
102.91,10,One-Time,5,Premium
29.11,4,Subscriber,4,Standard
84.85,10,Subscriber,4,Premium
107.96,9,Subscriber,5,Premium
48.55,8,Subscriber,0,Standard
120.75,5,Subscriber,5,Premium
72.58,9,Subscriber,5,Premium
48.13,7,Subscriber,0,Premium
98.85,2,Subscriber,3,Premium
118.54,9,One-Time,1,Premium
124.5,4,One-Time,5,Premium
143.51,8,One-Time,3,Premium
107.15,3,Subscriber,1,Premium
116.8,9,Subscriber,1,Premium
32.22,5,Subscriber,0,Standard
27,7,One-Time,2,Standard
19.7,9,One-Time,5,Standard
24.53,3,Subscriber,4,Standard
88.54,9,One-Time,1,Premium
65.34,11,One-Time,0,Standard
16.27,7,Subscriber,5,Premium
70.77,1,Subscriber,2,Standard
61.58,2,Subscriber,0,Standard
134.23,6,Subscriber,3,Premium
89.08,7,Subscriber,4,Premium
61.68,8,One-Time,5,Premium
36.31,10,One-Time,4,Standard
74.02,5,One-Time,0,Standard
15.05,9,One-Time,2,Standard
72.85,6,One-Time,2,Standard
138.44,7,Subscriber,3,Premium
69.77,2,One-Time,1,Standard
114.46,1,Subscriber,1,Standard
85.59,6,One-Time,3,Premium
80.11,8,Subscriber,2,Premium
118.03,10,One-Time,3,Premium
130.09,1,Subscriber,4,Premium
92.15,8,Subscriber,2,Premium
56.51,8,One-Time,3,Premium
139.9,4,One-Time,2,Standard
134.76,11,Subscriber,0,Premium
51.61,4,One-Time,0,Standard
90.56,2,Subscriber,5,Premium
106.34,7,One-Time,5,Premium
131.26,6,Subscriber,2,Premium
117.37,1,One-Time,4,Standard
72.45,4,One-Time,5,Standard
140.53,1,Subscriber,5,Premium
53.69,10,One-Time,0,Standard
38.43,7,One-Time,5,Premium
61.89,7,One-Time,5,Premium
64.5,10,One-Time,0,Standard
46.22,6,One-Time,3,Standard
46.37,7,Subscriber,2,Premium
100.55,3,One-Time,0,Standard
15.73,7,Subscriber,5,Premium
34.86,4,One-Time,5,Standard
129.4,9,One-Time,0,Standard
26.38,6,Subscriber,5,Standard
116.85,10,Subscriber,5,Premium
98.19,5,Subscriber,1,Premium
31.91,8,Subscriber,4,Premium
118.77,9,One-Time,1,Premium
138.75,8,Subscriber,2,Premium
72.73,11,Subscriber,2,Premium
29.79,11,Subscriber,1,Standard
33.13,3,Subscriber,3,Standard
112.09,1,One-Time,4,Standard
34.05,4,One-Time,2,Standard
53.21,11,Subscriber,5,Premium
24.31,10,One-Time,4,Standard
109.2,5,One-Time,3,Premium
37.4,8,Subscriber,1,Premium
85.87,9,One-Time,5,Premium
135.99,1,Subscriber,1,Standard
31.33,1,One-Time,0,Budget
34.75,11,Subscriber,2,Standard
53.28,4,Subscriber,4,Premium
57.96,1,Subscriber,3,Premium
77.32,2,One-Time,4,Standard
86.4,1,Subscriber,4,Premium
19.89,7,One-Time,4,Standard
106.14,9,One-Time,1,Premium
48.91,7,One-Time,5,Standard
48.79,6,Subscriber,2,Standard
125.57,11,One-Time,2,Premium
18.81,5,One-Time,1,Standard
27.8,10,Subscriber,3,Premium
111.05,7,Subscriber,0,Premium
90.03,2,One-Time,3,Premium
131.05,4,One-Time,2,Standard
16.71,10,One-Time,5,Standard
27.21,11,Subscriber,1,Standard
48.17,10,One-Time,2,Standard
71.92,4,Subscriber,3,Premium
98.29,1,Subscriber,3,Premium
102.19,1,One-Time,4,Standard
108,9,Subscriber,4,Premium
40.21,2,Subscriber,2,Standard
121.65,5,Subscriber,1,Premium
106.42,6,Subscriber,4,Premium
90.85,2,Subscriber,4,Premium
146.2,9,Subscriber,3,Premium
16.5,11,Subscriber,2,Standard
79.58,5,One-Time,3,Standard
52.65,10,One-Time,2,Premium
40.53,9,One-Time,5,Standard
31.72,7,Subscriber,3,Premium
91.95,8,One-Time,4,Premium
70.84,11,One-Time,5,Premium
130.81,1,One-Time,1,Standard
52.5,7,One-Time,0,Standard
103.22,4,One-Time,5,Premium
45.95,11,Subscriber,5,Premium
68.15,9,One-Time,1,Standard
119.92,8,Subscriber,4,Premium
56.92,2,One-Time,0,Standard
38.13,10,One-Time,4,Standard
87.44,9,Subscriber,3,Premium
48.33,11,One-Time,0,Standard
82.35,8,One-Time,3,Premium
32.05,3,One-Time,4,Standard
94.83,5,Subscriber,4,Premium
85.44,6,One-Time,5,Premium
60.03,4,One-Time,3,Premium
101.06,7,Subscriber,4,Premium
121.78,10,Subscriber,1,Premium
101.97,4,Subscriber,1,Premium
148.27,4,One-Time,1,Premium
26.74,8,Subscriber,0,Standard
117.26,5,One-Time,3,Premium
43.19,1,Subscriber,4,Standard
81.41,11,One-Time,3,Premium
109.54,5,One-Time,0,Standard
39.21,4,Subscriber,0,Standard
149.58,5,Subscriber,5,Premium
146.36,5,Subscriber,4,Premium
69.3,1,One-Time,5,Standard
91.88,3,Subscriber,0,Standard
15.03,7,Subscriber,4,Standard
110.58,9,Subscriber,0,Premium
79.6,1,One-Time,5,Standard
120.65,9,Subscriber,0,Premium
31.64,9,One-Time,0,Standard
106.5,9,Subscriber,2,Premium
148.13,10,Subscriber,4,Premium
74.64,2,One-Time,4,Standard
46.57,2,Subscriber,5,Standard
60.01,3,One-Time,3,Standard
117.69,11,Subscriber,5,Premium
42.49,7,Subscriber,3,Premium
135.36,8,One-Time,3,Premium
94.46,10,Subscriber,2,Premium
107.54,4,Subscriber,0,Premium
144.87,7,Subscriber,0,Premium
77.28,3,Subscriber,4,Premium
22.88,7,Subscriber,2,Standard
133.72,10,One-Time,2,Premium
85.46,5,One-Time,0,Standard
83.8,2,Subscriber,4,Premium
80.59,6,Subscriber,5,Premium
92.72,7,Subscriber,4,Premium
109.66,4,Subscriber,5,Premium
147.5,5,One-Time,5,Premium
129.91,4,One-Time,5,Premium
84.4,1,One-Time,4,Standard
63.71,11,One-Time,3,Premium
91.67,5,One-Time,0,Standard
59.55,8,Subscriber,3,Premium
43.54,5,One-Time,2,Standard
26.5,5,Subscriber,5,Standard
42.62,6,Subscriber,2,Standard
83.94,8,One-Time,2,Premium
119.24,8,Subscriber,4,Premium
90.34,10,One-Time,1,Premium
42.48,11,Subscriber,3,Premium
24.04,5,Subscriber,1,Standard
141.3,8,One-Time,2,Premium
23.77,3,Subscriber,2,Standard
100.96,2,One-Time,5,Premium
83.42,1,One-Time,1,Standard
43.39,10,Subscriber,1,Standard
46.68,1,One-Time,0,Budget
22.83,3,Subscriber,0,Standard
29.46,11,Subscriber,4,Standard
60.18,8,Subscriber,5,Premium
24.14,11,Subscriber,5,Premium
15.59,7,Subscriber,2,Standard
19.29,7,One-Time,1,Standard
17.2,7,Subscriber,4,Standard
70.01,10,One-Time,2,Standard
91.03,1,Subscriber,0,Standard
83.66,9,Subscriber,1,Premium
47.72,7,One-Time,2,Standard
73.89,11,One-Time,0,Standard
82.69,5,One-Time,0,Standard
115.19,8,Subscriber,4,Premium
40.49,1,Subscriber,2,Budget
143.91,7,Subscriber,5,Premium
51.32,6,Subscriber,2,Standard
75.02,10,One-Time,5,Premium
75.34,1,One-Time,4,Standard
36.15,5,One-Time,5,Standard
131.91,4,Subscriber,3,Premium
36.22,5,Subscriber,0,Standard
126.9,9,One-Time,2,Premium
19.24,2,Subscriber,3,Standard
130.21,11,Subscriber,5,Premium
38.44,3,Subscriber,2,Standard
94.45,8,Subscriber,0,Premium
146.33,1,One-Time,3,Standard
149.05,7,One-Time,1,Premium
108.33,1,Subscriber,2,Standard
21.4,1,Subscriber,1,Standard
139.73,9,One-Time,3,Premium
144.84,2,One-Time,0,Standard
35.14,6,One-Time,4,Standard
149.63,6,One-Time,1,Standard
52.35,5,Subscriber,5,Premium
36.11,9,One-Time,2,Standard
89.07,4,One-Time,0,Standard
38,6,Subscriber,5,Standard
135.57,7,Subscriber,0,Premium
40.98,2,One-Time,0,Budget
92.23,4,Subscriber,3,Premium
84.66,6,One-Time,0,Standard
39.73,3,One-Time,0,Budget
122.78,6,One-Time,0,Standard
80.64,5,One-Time,5,Premium
103.24,1,Subscriber,0,Standard
22.57,2,One-Time,2,Budget
50.63,4,Subscriber,2,Standard
100.82,11,Subscriber,3,Premium
108.98,1,Subscriber,2,Standard
105.83,4,One-Time,5,Premium
41.61,6,Subscriber,4,Standard
84.04,4,Subscriber,5,Premium
18.65,5,Subscriber,4,Standard
83.57,2,Subscriber,4,Premium
88.45,5,Subscriber,4,Premium
99.83,9,One-Time,0,Premium
112.68,7,One-Time,4,Premium
119.45,2,One-Time,2,Standard
55.66,6,Subscriber,0,Standard
55.51,9,One-Time,0,Standard
86.97,1,One-Time,2,Standard
126.68,3,Subscriber,4,Premium
118.57,7,Subscriber,1,Premium
76.18,6,Subscriber,3,Premium
66.04,7,One-Time,0,Standard
18.46,3,Subscriber,3,Standard
129.74,3,One-Time,3,Standard
104.69,9,Subscriber,5,Premium
92.29,8,One-Time,0,Premium
110.7,3,One-Time,2,Standard
120.17,5,Subscriber,3,Premium
144.42,4,One-Time,0,Standard
97.75,1,One-Time,5,Standard
90.16,11,One-Time,1,Premium
104.15,1,One-Time,0,Standard
108.76,9,One-Time,0,Premium
122.55,4,One-Time,5,Premium
80.64,3,Subscriber,3,Premium
67.04,1,Subscriber,5,Premium
89.72,9,One-Time,3,Premium
115.78,7,One-Time,2,Premium
115.98,9,One-Time,3,Premium
45.17,7,One-Time,3,Standard
52.51,3,Subscriber,5,Standard
65.24,10,Subscriber,0,Premium
92.52,8,One-Time,2,Premium
136.7,10,Subscriber,4,Premium
45.49,8,Subscriber,4,Premium
106.76,4,One-Time,0,Standard
118.53,6,One-Time,4,Premium
53.46,9,One-Time,3,Premium
132.94,5,Subscriber,4,Premium
23.29,2,One-Time,0,Budget
67.7,7,One-Time,4,Premium
94.02,11,Subscriber,3,Premium
28.14,4,Subscriber,1,Standard
25.84,11,One-Time,5,Standard
35.05,10,One-Time,4,Premium
123.9,3,One-Time,2,Standard
85.47,8,Subscriber,3,Premium
43.56,7,One-Time,4,Premium
61.7,6,Subscriber,1,Premium
89.19,4,Subscriber,5,Premium
29.08,3,One-Time,5,Budget
86.74,1,Subscriber,5,Premium
66.32,5,One-Time,2,Standard
68.29,10,One-Time,4,Premium
78.11,1,Subscriber,5,Premium
100.04,7,Subscriber,4,Premium
77.5,1,One-Time,5,Standard
49.69,11,One-Time,1,Standard
36.51,5,One-Time,4,Standard
142.07,7,One-Time,2,Premium
106.72,9,Subscriber,1,Premium
21.15,3,One-Time,0,Budget
147.36,9,Subscriber,3,Premium
64.24,9,One-Time,2,Standard
72.77,4,Subscriber,5,Premium
22.51,1,Subscriber,2,Standard
16.44,8,One-Time,1,Standard
102.41,8,Subscriber,0,Premium
22.44,2,Subscriber,2,Standard
69.96,11,Subscriber,0,Premium
33.09,8,Subscriber,4,Premium
59.5,5,Subscriber,4,Premium
145.23,10,Subscriber,1,Premium
51.66,10,Subscriber,5,Premium
110.7,6,One-Time,1,Standard
52.22,11,One-Time,5,Premium
28.28,8,Subscriber,1,Standard
61.76,3,Subscriber,0,Standard
41.09,3,One-Time,0,Budget
42.91,8,Subscriber,4,Premium
94.23,8,One-Time,0,Premium
100.6,9,Subscriber,1,Premium
66.55,6,One-Time,4,Premium
55.78,7,Subscriber,3,Premium
19.65,8,Subscriber,3,Premium
85,11,One-Time,1,Premium
89.59,9,Subscriber,1,Premium
67.38,2,Subscriber,4,Standard
98.07,1,One-Time,1,Standard
107.31,8,One-Time,2,Premium
103.96,6,One-Time,1,Standard
137.69,7,Subscriber,1,Premium
101.32,11,One-Time,5,Premium
94.86,3,Subscriber,1,Premium
39.23,4,Subscriber,2,Standard
143.18,9,One-Time,3,Premium
130.42,3,Subscriber,2,Premium
20.85,2,One-Time,3,Standard
126.8,2,Subscriber,4,Premium
104.52,2,One-Time,5,Standard
74.71,5,One-Time,0,Standard
64.72,1,Subscriber,3,Standard
29.33,8,Subscriber,0,Standard
72.8,7,Subscriber,1,Premium
76.33,3,One-Time,3,Standard
24.55,3,One-Time,5,Budget
120.61,10,One-Time,1,Premium
77.61,8,Subscriber,5,Premium
149.31,10,Subscriber,5,Premium
36.28,8,One-Time,4,Standard
29.07,8,One-Time,4,Standard
40.02,8,One-Time,2,Standard
29.53,5,Subscriber,2,Standard
45.8,9,Subscriber,2,Premium
119.27,2,One-Time,0,Standard
92.14,9,One-Time,0,Premium
71.65,4,One-Time,5,Standard
26.13,3,Subscriber,1,Standard
114.9,9,One-Time,1,Premium
95.63,7,Subscriber,5,Premium
68.74,5,One-Time,0,Standard
141.1,1,One-Time,2,Standard
70.01,11,One-Time,0,Standard
120.54,6,Subscriber,2,Premium
147.53,7,Subscriber,5,Premium
18.88,3,Subscriber,4,Standard
16.44,8,One-Time,5,Standard
21.52,9,One-Time,3,Standard
15.43,7,One-Time,5,Standard
120.14,11,One-Time,1,Premium
32.36,2,One-Time,0,Budget
124.43,4,One-Time,1,Standard
109.61,9,One-Time,5,Premium
112,3,One-Time,0,Standard
148.11,8,One-Time,1,Premium
63.93,11,Subscriber,4,Premium
19.44,4,Subscriber,2,Standard
133.57,11,One-Time,3,Premium
109.94,2,One-Time,2,Standard
46.24,9,One-Time,3,Standard
95.07,2,One-Time,0,Standard
81.38,4,Subscriber,1,Premium
136.63,3,One-Time,0,Standard
61.9,8,Subscriber,1,Premium
114.72,7,Subscriber,5,Premium
125.71,1,Subscriber,5,Premium
88.92,1,One-Time,2,Standard
132.55,6,One-Time,0,Standard
88.76,7,Subscriber,4,Premium
80.28,4,One-Time,1,Standard
91.59,5,One-Time,0,Standard
19.21,11,One-Time,4,Standard
78.97,11,Subscriber,4,Premium
125.98,8,Subscriber,3,Premium
124.9,8,Subscriber,1,Premium
37.29,3,Subscriber,3,Standard
79.95,6,Subscriber,5,Premium
30.35,7,Subscriber,4,Premium
136.13,7,Subscriber,2,Premium
99.28,2,One-Time,2,Standard
127.12,11,One-Time,5,Premium
133.37,1,Subscriber,1,Standard
119.43,6,Subscriber,5,Premium
145.66,8,One-Time,4,Premium
48.16,2,One-Time,0,Budget
45.68,6,One-Time,4,Standard
24.56,8,Subscriber,0,Standard
88.55,7,Subscriber,4,Premium
21.92,5,Subscriber,1,Standard
65.45,3,Subscriber,1,Standard
139.98,6,One-Time,0,Standard
102.66,4,One-Time,2,Premium
67.31,2,Subscriber,5,Premium
28.7,5,Subscriber,5,Standard
66.2,4,One-Time,3,Standard
132.49,10,Subscriber,2,Premium
149.83,2,One-Time,0,Standard
90.23,9,One-Time,5,Premium
45.66,9,One-Time,4,Premium
142.44,11,Subscriber,5,Premium
139.22,11,Subscriber,4,Premium
95.73,7,Subscriber,5,Premium
117.94,1,Subscriber,2,Premium
42.77,6,Subscriber,3,Premium
59.51,6,Subscriber,2,Standard
95.32,5,Subscriber,4,Premium
142.95,6,Subscriber,4,Premium
15.52,8,One-Time,5,Standard
141.93,5,One-Time,3,Premium
44.54,5,One-Time,4,Standard
80.91,7,One-Time,0,Premium
69.25,8,Subscriber,2,Premium
45.32,5,One-Time,4,Standard
53.61,7,One-Time,1,Premium
80.56,6,Subscriber,4,Premium
140.49,6,One-Time,4,Premium
43.31,9,Subscriber,1,Premium
57.52,7,Subscriber,3,Premium
60.31,8,One-Time,2,Standard
85.59,9,Subscriber,0,Premium
97.98,9,Subscriber,4,Premium
142.96,4,Subscriber,0,Premium
133.5,10,Subscriber,1,Premium
76,11,Subscriber,5,Premium
109.88,3,Subscriber,2,Premium
120.33,1,One-Time,1,Standard
34.11,3,One-Time,2,Budget
72.34,5,One-Time,0,Standard
16.99,5,Subscriber,1,Standard
73.67,6,Subscriber,5,Premium
95.53,5,Subscriber,0,Premium
63.11,8,One-Time,0,Standard
140.17,4,One-Time,4,Premium
103.67,4,One-Time,4,Premium
24.24,2,Subscriber,0,Budget
50.89,1,One-Time,3,Standard
52.59,9,Subscriber,0,Premium
118.9,10,One-Time,4,Premium
111.93,6,One-Time,4,Premium
109.64,6,Subscriber,5,Premium
34.03,9,Subscriber,5,Premium
74.04,1,Subscriber,0,Standard
54.44,9,Subscriber,5,Premium
35.57,3,One-Time,5,Standard
124.26,9,One-Time,3,Premium
96.48,6,Subscriber,1,Premium
119.28,8,One-Time,2,Premium
