respondent_id,task_id,alternative_id,chosen,library_size,original_content,ad_experience,simultaneous_streams,video_quality,price
S004,4,B,0,Large,Extensive,With_Ads,2,4K,19.99
S004,4,C,1,Small,Extensive,With_Ads,4,4K,5.99
S004,4,None,0,,,,,,
S004,5,A,0,Large,None,Ad_Free,2,4K,14.99
S004,5,B,0,Medium,Extensive,Ad_Free,1,4K,5.99
S004,5,C,1,Large,Extensive,Ad_Free,4,HD,19.99
S004,6,A,0,Medium,Moderate,Ad_Free,2,4K,9.99
S004,6,B,1,Large,Extensive,Ad_Free,4,HD,19.99
S004,6,C,0,Medium,None,Ad_Free,1,4K,9.99
S004,6,None,0,,,,,,
S004,7,A,1,Medium,Extensive,Ad_Free,2,4K,19.99
S004,7,B,0,Small,Moderate,With_Ads,4,4K,19.99
S004,7,C,0,Medium,Moderate,With_Ads,4,4K,9.99
S004,7,None,0,,,,,,
S004,8,A,0,Medium,Moderate,With_Ads,4,4K,5.99
S004,8,B,1,Medium,Moderate,Ad_Free,4,4K,5.99
S004,8,C,0,Small,Extensive,Ad_Free,1,4K,19.99
S004,8,None,0,,,,,,
S004,9,A,1,Medium,None,Ad_Free,2,HD,9.99
S004,9,B,0,Medium,Extensive,With_Ads,2,4K,19.99
S004,9,C,0,Medium,Extensive,With_Ads,1,4K,14.99
S004,9,None,0,,,,,,
S004,10,A,1,Large,Moderate,Ad_Free,1,HD,5.99
S004,10,B,0,Medium,Moderate,With_Ads,1,HD,9.99
S004,10,C,0,Medium,None,Ad_Free,1,HD,14.99
S004,10,None,0,,,,,,
S005,1,A,0,Small,None,With_Ads,4,4K,14.99
S005,1,B,0,Medium,None,Ad_Free,4,HD,14.99
S005,1,C,1,Large,None,With_Ads,1,HD,5.99
S005,1,None,0,,,,,,
S005,1,Netflix,0,Large,Extensive,Ad_Free,4,4K,15.99
S005,2,A,1,Large,Moderate,Ad_Free,4,HD,5.99
S005,2,B,0,Medium,Extensive,With_Ads,2,HD,19.99
S005,2,C,0,Large,None,Ad_Free,4,HD,19.99
S005,3,A,0,Large,None,Ad_Free,1,HD,5.99
S005,3,B,0,Small,Moderate,With_Ads,1,HD,9.99
S005,3,C,1,Medium,Extensive,With_Ads,4,HD,5.99
S005,4,A,0,Large,Moderate,With_Ads,2,HD,19.99
S005,4,B,0,Medium,Moderate,Ad_Free,1,4K,14.99
S005,4,C,1,Large,Moderate,Ad_Free,2,4K,9.99
S005,4,None,0,,,,,,
S005,5,A,0,Medium,Extensive,With_Ads,1,4K,9.99
S005,5,B,1,Medium,Moderate,Ad_Free,4,HD,9.99
S005,5,C,0,Large,Moderate,With_Ads,2,HD,5.99
S005,6,A,0,Large,Extensive,With_Ads,4,HD,14.99
S005,6,B,1,Small,None,Ad_Free,2,4K,9.99
S005,6,C,0,Large,Extensive,With_Ads,4,4K,9.99
S005,6,None,0,,,,,,
S005,7,A,1,Medium,Moderate,Ad_Free,2,4K,5.99
S005,7,B,0,Large,None,Ad_Free,2,4K,19.99
S005,7,C,0,Small,Extensive,With_Ads,1,4K,14.99
S005,7,None,0,,,,,,
S005,8,A,1,Small,Extensive,Ad_Free,4,4K,9.99
S005,8,B,0,Small,Moderate,With_Ads,2,HD,5.99
S005,8,C,0,Large,Extensive,With_Ads,2,4K,5.99
S005,8,None,0,,,,,,
S005,9,A,0,Small,None,With_Ads,1,4K,5.99
S005,9,B,0,Medium,Moderate,Ad_Free,1,4K,14.99
S005,9,C,1,Medium,Extensive,Ad_Free,2,4K,9.99
S005,9,None,0,,,,,,
S005,10,A,0,Large,Moderate,With_Ads,1,4K,9.99
S005,10,B,0,Small,None,Ad_Free,4,4K,9.99
S005,10,C,1,Large,Moderate,Ad_Free,1,HD,5.99
S005,10,None,0,,,,,,
S006,1,A,0,Large,None,With_Ads,2,HD,19.99
S006,1,B,1,Large,Moderate,With_Ads,2,4K,9.99
S006,1,C,0,Large,None,Ad_Free,2,HD,9.99
S006,1,None,0,,,,,,
S006,1,Netflix,0,Large,Extensive,Ad_Free,4,4K,15.99
S006,2,A,0,Small,Extensive,Ad_Free,2,HD,19.99
S006,2,B,0,Small,Moderate,Ad_Free,1,HD,14.99
S006,2,C,0,Large,Extensive,With_Ads,2,4K,14.99
S006,2,None,1,,,,,,
S006,3,A,1,Medium,Moderate,With_Ads,2,HD,9.99
S006,3,B,0,Medium,Moderate,Ad_Free,2,4K,5.99
S006,3,C,0,Small,Extensive,Ad_Free,2,HD,9.99
S006,4,A,1,Small,None,With_Ads,4,HD,5.99
S006,4,B,0,Large,None,Ad_Free,4,HD,19.99
S006,4,C,0,Large,Moderate,Ad_Free,1,4K,14.99
S006,4,None,0,,,,,,
S006,4,Netflix,0,Large,Extensive,Ad_Free,4,4K,15.99
S006,5,A,0,Small,None,Ad_Free,4,4K,19.99
S006,5,B,0,Large,None,With_Ads,2,4K,19.99
S006,5,C,1,Small,Moderate,Ad_Free,1,HD,9.99
S006,5,None,0,,,,,,
S006,6,A,1,Medium,None,Ad_Free,4,4K,5.99
S006,6,B,0,Small,Extensive,Ad_Free,2,4K,5.99
S006,6,C,0,Small,Moderate,With_Ads,1,HD,19.99
S006,6,None,0,,,,,,
S006,7,A,0,Large,None,Ad_Free,4,HD,14.99
S006,7,B,1,Large,Extensive,With_Ads,2,4K,5.99
S006,7,C,0,Small,Extensive,Ad_Free,4,4K,14.99
S006,8,A,1,Large,Extensive,Ad_Free,4,4K,9.99
S006,8,B,0,Small,Extensive,With_Ads,2,HD,5.99
S006,8,C,0,Small,Moderate,With_Ads,4,4K,14.99
S006,8,None,0,,,,,,
S006,8,DisneyPlus,0,Medium,Extensive,Ad_Free,4,4K,10.99
S006,9,A,1,Medium,Moderate,Ad_Free,2,4K,14.99
S006,9,B,0,Large,None,Ad_Free,4,4K,5.99
S006,9,C,0,Small,Moderate,With_Ads,2,4K,5.99
S006,9,None,0,,,,,,
S006,9,Netflix,0,Large,Extensive,Ad_Free,4,4K,15.99
S006,10,A,0,Large,Extensive,Ad_Free,1,4K,19.99
S006,10,B,0,Small,None,With_Ads,4,HD,19.99
S006,10,C,1,Medium,None,Ad_Free,1,HD,5.99
S006,10,None,0,,,,,,
S006,10,Netflix,0,Large,Extensive,Ad_Free,4,4K,15.99
S007,1,A,0,Medium,Moderate,With_Ads,2,HD,14.99
S007,1,B,0,Medium,None,With_Ads,2,4K,19.99
S007,1,C,1,Medium,Extensive,With_Ads,2,4K,9.99
S007,2,A,0,Medium,None,With_Ads,1,HD,19.99
S007,2,B,1,Small,Moderate,Ad_Free,1,HD,5.99
S007,2,C,0,Medium,Extensive,Ad_Free,4,4K,9.99
S007,3,A,1,Large,Moderate,With_Ads,4,4K,14.99
S007,3,B,0,Large,Moderate,With_Ads,1,4K,19.99
S007,3,C,0,Small,None,With_Ads,4,4K,14.99
S007,3,None,0,,,,,,
S007,3,DisneyPlus,0,Medium,Extensive,Ad_Free,4,4K,10.99
S007,4,A,0,Large,Moderate,With_Ads,4,HD,19.99
S007,4,B,1,Small,Extensive,Ad_Free,4,4K,19.99
S007,4,C,0,Large,Extensive,Ad_Free,1,HD,14.99
S007,4,None,0,,,,,,
S007,5,A,1,Medium,Extensive,Ad_Free,2,4K,9.99
S007,5,B,0,Large,None,Ad_Free,2,4K,19.99
S007,5,C,0,Small,None,Ad_Free,1,HD,19.99
S007,5,None,0,,,,,,
S007,6,A,1,Medium,Moderate,Ad_Free,2,4K,19.99
S007,6,B,0,Large,Extensive,Ad_Free,2,4K,14.99
S007,6,C,0,Medium,Extensive,With_Ads,2,4K,9.99
S007,6,None,0,,,,,,
S007,7,A,0,Medium,Moderate,With_Ads,4,HD,14.99
S007,7,B,0,Small,Moderate,With_Ads,2,4K,9.99
S007,7,C,0,Large,Extensive,With_Ads,4,4K,19.99
S007,7,None,0,,,,,,
S007,7,DisneyPlus,1,Medium,Extensive,Ad_Free,4,4K,10.99
S007,8,A,0,Medium,None,With_Ads,2,4K,14.99
S007,8,B,1,Large,None,Ad_Free,4,HD,14.99
S007,8,C,0,Small,Extensive,With_Ads,1,4K,19.99
S007,8,None,0,,,,,,
S007,8,Netflix,0,Large,Extensive,Ad_Free,4,4K,15.99
S007,9,A,0,Small,Moderate,Ad_Free,2,HD,14.99
S007,9,B,0,Small,Moderate,With_Ads,2,HD,5.99
S007,9,C,1,Medium,None,Ad_Free,1,4K,9.99
S007,9,None,0,,,,,,
S007,10,A,0,Medium,None,Ad_Free,1,HD,9.99
S007,10,B,0,Medium,Moderate,With_Ads,4,4K,19.99
S007,10,C,1,Small,None,Ad_Free,2,4K,14.99
S007,10,None,0,,,,,,
S008,1,A,1,Large,Moderate,With_Ads,1,HD,5.99
S008,1,B,0,Small,Extensive,Ad_Free,2,HD,19.99
S008,1,C,0,Large,None,Ad_Free,1,4K,14.99
S008,2,A,0,Medium,Moderate,Ad_Free,1,HD,9.99
S008,2,B,0,Small,Moderate,With_Ads,2,4K,9.99
S008,2,C,0,Medium,Moderate,Ad_Free,2,4K,9.99
S008,2,DisneyPlus,1,Medium,Extensive,Ad_Free,4,4K,10.99
S008,3,A,0,Large,Extensive,With_Ads,2,HD,9.99
S008,3,B,1,Medium,None,Ad_Free,4,4K,14.99
S008,3,C,0,Medium,Moderate,With_Ads,2,HD,5.99
S008,4,A,0,Small,Extensive,Ad_Free,1,HD,5.99
S008,4,B,0,Small,None,Ad_Free,2,4K,14.99
S008,4,C,1,Large,Extensive,Ad_Free,4,HD,9.99
S008,4,DisneyPlus,0,Medium,Extensive,Ad_Free,4,4K,10.99
S008,5,A,0,Large,Moderate,With_Ads,2,HD,19.99
S008,5,B,1,Large,None,With_Ads,4,4K,14.99
S008,5,C,0,Small,None,Ad_Free,2,HD,19.99
S008,5,None,0,,,,,,
S008,6,A,0,Small,Extensive,Ad_Free,2,4K,9.99
S008,6,B,0,Small,None,Ad_Free,4,4K,19.99
S008,6,C,1,Small,Moderate,Ad_Free,4,4K,5.99
S008,7,A,1,Large,None,Ad_Free,1,HD,5.99
S008,7,B,0,Small,None,Ad_Free,4,HD,19.99
S008,7,C,0,Medium,None,With_Ads,2,4K,14.99
S008,7,None,0,,,,,,
S008,8,A,1,Medium,Moderate,Ad_Free,1,4K,9.99
S008,8,B,0,Small,None,With_Ads,4,HD,19.99
S008,8,C,0,Large,Moderate,Ad_Free,1,4K,9.99
S008,8,None,0,,,,,,
S008,9,A,0,Small,None,Ad_Free,1,HD,5.99
S008,9,B,1,Small,Extensive,Ad_Free,2,HD,9.99
S008,9,C,0,Small,Extensive,With_Ads,1,4K,19.99
S008,9,None,0,,,,,,
S008,10,A,1,Small,None,Ad_Free,4,HD,14.99
S008,10,B,0,Medium,None,With_Ads,4,4K,9.99
S008,10,C,0,Small,None,With_Ads,1,4K,9.99
S008,10,None,0,,,,,,
S009,1,A,1,Medium,Moderate,Ad_Free,4,4K,9.99
S009,1,B,0,Large,Moderate,Ad_Free,2,4K,9.99
S009,1,C,0,Large,Extensive,With_Ads,2,4K,14.99
S009,1,None,0,,,,,,
S009,2,A,1,Medium,None,With_Ads,2,HD,9.99
S009,2,B,0,Large,None,Ad_Free,2,HD,14.99
S009,2,C,0,Small,Extensive,Ad_Free,1,4K,14.99
S009,2,None,0,,,,,,
S009,3,A,1,Large,Extensive,With_Ads,2,4K,5.99
S009,3,B,0,Small,None,With_Ads,4,4K,14.99
S009,3,C,0,Medium,Moderate,Ad_Free,2,HD,14.99
S009,3,None,0,,,,,,
S009,4,A,1,Medium,Extensive,Ad_Free,4,HD,14.99
S009,4,B,0,Large,None,With_Ads,4,4K,14.99
S009,4,C,0,Medium,Extensive,Ad_Free,1,HD,14.99
S009,4,None,0,,,,,,
S009,5,A,1,Medium,Extensive,Ad_Free,2,4K,9.99
S009,5,B,0,Medium,Moderate,With_Ads,1,HD,9.99
S009,5,C,0,Medium,Moderate,Ad_Free,2,4K,19.99
S009,5,None,0,,,,,,
S009,6,A,0,Medium,Moderate,With_Ads,2,4K,5.99
S009,6,B,0,Small,None,Ad_Free,1,4K,9.99
S009,6,C,1,Medium,Extensive,Ad_Free,4,HD,5.99
S009,6,None,0,,,,,,
S009,7,A,1,Medium,Moderate,Ad_Free,4,4K,19.99
S009,7,B,0,Medium,Moderate,With_Ads,2,4K,9.99
S009,7,C,0,Small,Extensive,Ad_Free,2,4K,5.99
S009,7,None,0,,,,,,
S009,8,A,0,Small,Moderate,With_Ads,1,4K,19.99
S009,8,B,1,Medium,Moderate,With_Ads,2,4K,5.99
S009,8,C,0,Small,None,Ad_Free,1,4K,19.99
S009,8,None,0,,,,,,
S009,9,A,1,Medium,Moderate,With_Ads,4,HD,14.99
S009,9,B,0,Small,Moderate,With_Ads,1,4K,14.99
S009,9,C,0,Medium,Moderate,With_Ads,2,4K,14.99
S009,9,None,0,,,,,,
S009,10,A,0,Medium,Moderate,With_Ads,1,4K,9.99
S009,10,B,1,Small,Moderate,Ad_Free,4,4K,19.99
S009,10,C,0,Large,None,Ad_Free,1,4K,5.99
S009,10,None,0,,,,,,
S010,1,A,0,Large,None,With_Ads,4,4K,5.99
S010,1,B,1,Large,Extensive,Ad_Free,4,HD,5.99
S010,1,C,0,Small,Moderate,Ad_Free,4,HD,5.99
S010,1,None,0,,,,,,
S010,2,A,0,Small,None,With_Ads,1,4K,14.99
S010,2,B,0,Small,None,With_Ads,4,HD,9.99
S010,2,C,1,Large,Moderate,With_Ads,2,HD,9.99
S010,3,A,1,Small,Extensive,Ad_Free,4,HD,5.99
S010,3,B,0,Large,Extensive,With_Ads,4,4K,14.99
S010,3,C,0,Medium,Extensive,With_Ads,2,4K,19.99
S010,3,None,0,,,,,,
S010,4,A,0,Medium,None,With_Ads,4,HD,14.99
S010,4,B,0,Large,Extensive,With_Ads,1,4K,9.99
S010,4,C,1,Large,Moderate,Ad_Free,2,4K,14.99
S010,4,None,0,,,,,,
S010,5,A,1,Medium,Moderate,With_Ads,2,4K,9.99
S010,5,B,0,Large,None,Ad_Free,4,4K,19.99
S010,5,C,0,Small,Moderate,Ad_Free,4,HD,19.99
S010,5,None,0,,,,,,
S010,6,A,0,Medium,Extensive,With_Ads,2,4K,19.99
S010,6,B,0,Large,None,Ad_Free,2,4K,9.99
S010,6,C,1,Large,Extensive,Ad_Free,1,HD,14.99
S010,6,None,0,,,,,,
S010,7,A,0,Medium,Extensive,With_Ads,1,4K,5.99
S010,7,B,0,Small,Extensive,Ad_Free,4,HD,19.99
S010,7,C,0,Medium,Extensive,Ad_Free,2,4K,5.99
S010,7,Netflix,1,Large,Extensive,Ad_Free,4,4K,15.99
S010,8,A,0,Small,Extensive,With_Ads,1,HD,14.99
S010,8,B,1,Medium,Extensive,Ad_Free,1,HD,5.99
S010,8,C,0,Small,Moderate,With_Ads,1,4K,14.99
S010,8,None,0,,,,,,
S010,9,A,0,Large,None,With_Ads,4,4K,19.99
S010,9,B,0,Medium,Extensive,Ad_Free,2,HD,5.99
S010,9,C,0,Medium,Moderate,Ad_Free,4,4K,14.99
S010,9,None,1,,,,,,
S010,10,A,1,Medium,Extensive,Ad_Free,2,4K,5.99
S010,10,B,0,Small,Moderate,Ad_Free,1,HD,19.99
S010,10,C,0,Large,Extensive,Ad_Free,4,4K,14.99
S010,10,None,0,,,,,,
S011,1,A,0,Medium,None,With_Ads,1,4K,5.99
S011,1,B,0,Large,Extensive,With_Ads,4,4K,5.99
S011,1,C,1,Medium,Moderate,Ad_Free,4,HD,9.99
S011,1,None,0,,,,,,
S011,2,A,0,Large,Moderate,With_Ads,4,HD,14.99
S011,2,B,0,Small,None,With_Ads,4,4K,19.99
S011,2,C,1,Medium,Extensive,With_Ads,1,4K,5.99
S011,2,None,0,,,,,,
S011,2,Netflix,0,Large,Extensive,Ad_Free,4,4K,15.99
S011,3,A,0,Large,None,With_Ads,2,HD,5.99
S011,3,B,1,Large,Moderate,With_Ads,1,4K,9.99
S011,3,C,0,Small,Extensive,With_Ads,4,4K,14.99
S011,3,None,0,,,,,,
S011,4,A,1,Medium,Extensive,Ad_Free,2,HD,14.99
S011,4,B,0,Small,Moderate,With_Ads,4,HD,14.99
S011,4,C,0,Large,Extensive,Ad_Free,1,HD,14.99
S011,4,None,0,,,,,,
S011,5,A,0,Large,None,With_Ads,2,HD,19.99
S011,5,B,1,Medium,Extensive,Ad_Free,1,HD,5.99
S011,5,C,0,Medium,None,With_Ads,4,HD,9.99
S011,5,None,0,,,,,,
S011,6,A,1,Medium,Moderate,Ad_Free,1,4K,5.99
S011,6,B,0,Medium,Moderate,With_Ads,1,HD,14.99
S011,6,C,0,Small,None,With_Ads,2,4K,9.99
S011,6,None,0,,,,,,
S011,6,DisneyPlus,0,Medium,Extensive,Ad_Free,4,4K,10.99
S011,7,A,1,Medium,Moderate,Ad_Free,1,HD,9.99
S011,7,B,0,Small,Moderate,With_Ads,2,4K,14.99
S011,7,C,0,Large,None,Ad_Free,1,4K,19.99
S011,7,None,0,,,,,,
S011,8,A,1,Medium,Moderate,With_Ads,1,HD,19.99
S011,8,B,0,Large,Moderate,With_Ads,1,4K,14.99
S011,8,C,0,Small,None,With_Ads,2,4K,19.99
S011,8,None,0,,,,,,
S011,9,A,0,Medium,Moderate,With_Ads,1,HD,5.99
S011,9,B,1,Large,Extensive,With_Ads,2,4K,9.99
S011,9,C,0,Small,None,Ad_Free,1,HD,9.99
S011,9,None,0,,,,,,
S011,10,A,1,Medium,Extensive,Ad_Free,4,4K,5.99
S011,10,B,0,Medium,Moderate,Ad_Free,1,4K,14.99
S011,10,C,0,Small,None,With_Ads,4,HD,5.99
S011,10,None,0,,,,,,
S011,10,DisneyPlus,0,Medium,Extensive,Ad_Free,4,4K,10.99
S012,1,A,0,Small,Extensive,With_Ads,1,4K,19.99
S012,1,B,0,Medium,Extensive,With_Ads,1,4K,9.99
S012,1,C,1,Small,None,Ad_Free,2,4K,14.99
S012,1,None,0,,,,,,
S012,2,A,0,Small,None,Ad_Free,1,4K,14.99
S012,2,B,1,Small,Moderate,Ad_Free,1,HD,5.99
S012,2,C,0,Medium,None,Ad_Free,2,HD,5.99
S012,3,A,0,Large,Extensive,With_Ads,4,HD,9.99
S012,3,B,1,Large,Extensive,Ad_Free,1,4K,14.99
S012,3,C,0,Medium,Extensive,With_Ads,2,4K,19.99
S012,3,None,0,,,,,,
S012,4,A,0,Small,Moderate,With_Ads,4,HD,5.99
S012,4,B,0,Large,None,With_Ads,4,4K,14.99
S012,4,C,1,Large,None,Ad_Free,4,HD,9.99
S012,4,None,0,,,,,,
S012,4,Netflix,0,Large,Extensive,Ad_Free,4,4K,15.99
S012,5,A,0,Medium,Moderate,Ad_Free,1,4K,14.99
S012,5,B,1,Small,Moderate,Ad_Free,4,4K,14.99
S012,5,C,0,Small,Extensive,Ad_Free,4,HD,14.99
S012,5,None,0,,,,,,
S012,6,A,0,Medium,Moderate,With_Ads,4,4K,19.99
S012,6,B,0,Small,None,Ad_Free,4,4K,19.99
S012,6,C,1,Small,Extensive,With_Ads,2,HD,9.99
S012,6,None,0,,,,,,
S012,7,A,1,Large,Extensive,Ad_Free,4,HD,5.99
S012,7,B,0,Large,Moderate,With_Ads,4,HD,5.99
S012,7,C,0,Large,None,Ad_Free,1,HD,14.99
S012,7,Netflix,0,Large,Extensive,Ad_Free,4,4K,15.99
S012,8,A,0,Large,Moderate,With_Ads,1,HD,9.99
S012,8,B,0,Medium,Extensive,Ad_Free,4,HD,5.99
S012,8,C,1,Medium,Extensive,Ad_Free,2,4K,19.99
S012,8,None,0,,,,,,
S012,8,DisneyPlus,0,Medium,Extensive,Ad_Free,4,4K,10.99
S012,9,A,1,Small,Extensive,Ad_Free,4,HD,5.99
S012,9,B,0,Small,Extensive,Ad_Free,2,4K,14.99
S012,9,C,0,Medium,None,Ad_Free,2,HD,14.99
S012,10,A,1,Large,Extensive,With_Ads,4,HD,9.99
S012,10,B,0,Small,Moderate,With_Ads,1,4K,19.99
S012,10,C,0,Small,Extensive,Ad_Free,2,HD,14.99
S012,10,None,0,,,,,,
S013,1,A,0,Large,Extensive,Ad_Free,4,4K,9.99
S013,1,B,1,Large,None,Ad_Free,2,4K,5.99
S013,1,C,0,Small,Moderate,With_Ads,1,HD,9.99
S013,1,None,0,,,,,,
S013,2,A,0,Medium,Moderate,With_Ads,1,4K,19.99
