respondent_id,task_id,alternative_id,chosen,course_format,weekly_hours,assessment_style
S001,11,B,0,Competitor_HybridOnline,3.5,CaseStudies
S001,11,C,0,Traditional_Lecture,8.0,Mixed
S001,11,D,0,Competitor_FlippedClassroom,6.5,Exams
S001,11,None,0,,,
S001,12,A,0,Competitor_ProjectBased,8.0,Projects
S001,12,B,1,Competitor_FlippedClassroom,4.5,Projects
S001,12,C,0,Traditional_Lecture,6.5,Mixed
S001,12,D,0,Competitor_HybridOnline,2.5,Exams
S001,12,None,0,,,
S001,13,A,0,Competitor_ProjectBased,4.5,Projects
S001,13,B,0,Traditional_Lecture,3.5,Exams
S001,13,C,0,Traditional_Lecture,8.0,CaseStudies
S001,13,D,0,Traditional_Lecture,6.5,Projects
S001,13,None,1,,,
S001,14,A,0,Competitor_FlippedClassroom,8.0,CaseStudies
S001,14,B,0,Competitor_FlippedClassroom,4.5,CaseStudies
S001,14,C,0,Competitor_FlippedClassroom,6.5,Projects
S001,14,D,1,Competitor_ProjectBased,5.5,Mixed
S001,14,None,0,,,
S001,15,A,0,Competitor_HybridOnline,6.5,CaseStudies
S001,15,B,1,Traditional_Lecture,3.5,Projects
S001,15,C,0,Traditional_Lecture,4.5,Exams
S001,15,D,0,Competitor_FlippedClassroom,6.5,Projects
S001,15,None,0,,,
S001,16,A,1,Traditional_Lecture,2.5,Exams
S001,16,B,0,Competitor_FlippedClassroom,2.5,Exams
S001,16,C,0,Competitor_ProjectBased,2.5,Projects
S001,16,D,0,Competitor_ProjectBased,8.0,CaseStudies
S001,16,None,0,,,
S001,17,A,0,Competitor_FlippedClassroom,6.5,Projects
S001,17,B,0,Competitor_HybridOnline,3.5,CaseStudies
S001,17,C,1,Competitor_HybridOnline,3.5,Exams
S001,17,D,0,Traditional_Lecture,8.0,CaseStudies
S001,17,None,0,,,
S001,18,A,0,Competitor_ProjectBased,5.5,CaseStudies
S001,18,B,1,Competitor_HybridOnline,8.0,Exams
S001,18,C,0,Traditional_Lecture,2.5,CaseStudies
S001,18,D,0,Competitor_ProjectBased,2.5,Projects
S001,18,None,0,,,
S001,19,A,0,Competitor_FlippedClassroom,3.5,CaseStudies
S001,19,B,0,Competitor_FlippedClassroom,5.5,Projects
S001,19,C,1,Competitor_ProjectBased,5.5,Projects
S001,19,D,0,Traditional_Lecture,5.5,Exams
S001,19,None,0,,,
S001,20,A,0,Traditional_Lecture,8.0,Exams
S001,20,B,1,Traditional_Lecture,3.5,Projects
S001,20,C,0,Competitor_HybridOnline,5.5,CaseStudies
S001,20,D,0,Competitor_FlippedClassroom,5.5,Exams
S001,20,None,0,,,
S001,21,A,0,Competitor_FlippedClassroom,5.5,Exams
S001,21,B,0,Competitor_HybridOnline,4.5,CaseStudies
S001,21,C,0,Competitor_ProjectBased,5.5,CaseStudies
S001,21,D,1,Competitor_FlippedClassroom,3.5,Mixed
S001,21,None,0,,,
S001,22,A,0,Competitor_FlippedClassroom,2.5,Exams
S001,22,B,1,Competitor_ProjectBased,2.5,Exams
S001,22,C,0,Competitor_HybridOnline,6.5,Projects
S001,22,D,0,Traditional_Lecture,6.5,Exams
S001,22,None,0,,,
S001,23,A,0,Competitor_FlippedClassroom,2.5,Exams
S001,23,B,0,Competitor_FlippedClassroom,5.5,Exams
S001,23,C,0,Competitor_FlippedClassroom,6.5,Exams
S001,23,D,0,Traditional_Lecture,5.5,Mixed
S001,23,None,1,,,
S001,24,A,0,Competitor_ProjectBased,3.5,Mixed
S001,24,B,0,Competitor_FlippedClassroom,4.5,CaseStudies
S001,24,C,0,Competitor_FlippedClassroom,8.0,Mixed
S001,24,D,1,Competitor_HybridOnline,4.5,Exams
S001,24,None,0,,,
S001,25,A,0,Traditional_Lecture,5.5,Exams
S001,25,B,0,Traditional_Lecture,6.5,Projects
S001,25,C,0,Competitor_ProjectBased,3.5,Mixed
S001,25,D,1,Traditional_Lecture,3.5,Mixed
S001,25,None,0,,,
S001,26,A,0,Competitor_ProjectBased,3.5,CaseStudies
S001,26,B,1,Competitor_ProjectBased,6.5,Exams
S001,26,C,0,Competitor_ProjectBased,8.0,Exams
S001,26,D,0,Competitor_FlippedClassroom,4.5,Exams
S001,26,None,0,,,
S001,27,A,0,Traditional_Lecture,8.0,Projects
S001,27,B,0,Competitor_ProjectBased,4.5,Projects
S001,27,C,1,Competitor_ProjectBased,3.5,Mixed
S001,27,D,0,Competitor_HybridOnline,4.5,Exams
S001,27,None,0,,,
S001,28,A,0,Traditional_Lecture,8.0,CaseStudies
S001,28,B,1,Competitor_ProjectBased,2.5,Exams
S001,28,C,0,Competitor_ProjectBased,3.5,Mixed
S001,28,D,0,Competitor_FlippedClassroom,8.0,CaseStudies
S001,28,None,0,,,
S001,29,A,0,Competitor_HybridOnline,6.5,Exams
S001,29,B,0,Traditional_Lecture,2.5,Projects
S001,29,C,0,Traditional_Lecture,4.5,Projects
S001,29,D,1,Competitor_HybridOnline,3.5,Exams
S001,29,None,0,,,
S001,30,A,0,Competitor_ProjectBased,4.5,Exams
S001,30,B,1,Competitor_ProjectBased,3.5,Projects
S001,30,C,0,Traditional_Lecture,4.5,CaseStudies
S001,30,D,0,Competitor_FlippedClassroom,3.5,Projects
S001,30,None,0,,,
S002,1,A,0,Competitor_FlippedClassroom,5.5,Exams
S002,1,B,1,Competitor_FlippedClassroom,8.0,Mixed
S002,1,C,0,Competitor_HybridOnline,8.0,Projects
S002,1,D,0,Competitor_ProjectBased,3.5,Exams
S002,1,None,0,,,
S002,2,A,0,Competitor_HybridOnline,2.5,CaseStudies
S002,2,B,0,Competitor_FlippedClassroom,3.5,CaseStudies
S002,2,C,1,Competitor_ProjectBased,4.5,Projects
S002,2,D,0,Competitor_FlippedClassroom,2.5,Projects
S002,2,None,0,,,
S002,3,A,0,Competitor_HybridOnline,4.5,Mixed
S002,3,B,0,Traditional_Lecture,4.5,Mixed
S002,3,C,0,Competitor_HybridOnline,8.0,Mixed
S002,3,D,1,Traditional_Lecture,2.5,Mixed
S002,3,None,0,,,
S002,4,A,1,Competitor_FlippedClassroom,6.5,Mixed
S002,4,B,0,Traditional_Lecture,2.5,CaseStudies
S002,4,C,0,Competitor_ProjectBased,8.0,Mixed
S002,4,D,0,Competitor_HybridOnline,6.5,Exams
S002,4,None,0,,,
S002,5,A,0,Competitor_HybridOnline,6.5,Projects
S002,5,B,1,Competitor_ProjectBased,2.5,CaseStudies
S002,5,C,0,Traditional_Lecture,6.5,Projects
S002,5,D,0,Competitor_ProjectBased,5.5,Exams
S002,5,None,0,,,
S002,6,A,1,Competitor_ProjectBased,6.5,Mixed
S002,6,B,0,Traditional_Lecture,8.0,Mixed
S002,6,C,0,Competitor_ProjectBased,8.0,CaseStudies
S002,6,D,0,Competitor_ProjectBased,5.5,Mixed
S002,6,None,0,,,
S002,7,A,0,Competitor_FlippedClassroom,3.5,CaseStudies
S002,7,B,0,Competitor_HybridOnline,8.0,Projects
S002,7,C,1,Competitor_ProjectBased,5.5,Exams
S002,7,D,0,Competitor_ProjectBased,4.5,Projects
S002,7,None,0,,,
S002,8,A,0,Competitor_HybridOnline,6.5,Mixed
S002,8,B,1,Competitor_HybridOnline,5.5,CaseStudies
S002,8,C,0,Competitor_FlippedClassroom,6.5,CaseStudies
S002,8,D,0,Competitor_FlippedClassroom,8.0,Exams
S002,8,None,0,,,
S002,9,A,0,Competitor_ProjectBased,6.5,Mixed
S002,9,B,0,Traditional_Lecture,3.5,Mixed
S002,9,C,1,Competitor_FlippedClassroom,3.5,Projects
S002,9,D,0,Traditional_Lecture,2.5,Projects
S002,9,None,0,,,
S002,10,A,0,Competitor_HybridOnline,6.5,Exams
S002,10,B,0,Competitor_HybridOnline,5.5,Projects
S002,10,C,0,Competitor_HybridOnline,5.5,CaseStudies
S002,10,D,1,Competitor_FlippedClassroom,3.5,Exams
S002,10,None,0,,,
S002,11,A,0,Traditional_Lecture,5.5,Projects
S002,11,B,1,Competitor_FlippedClassroom,8.0,CaseStudies
S002,11,C,0,Traditional_Lecture,6.5,Projects
S002,11,D,0,Traditional_Lecture,5.5,Projects
S002,11,None,0,,,
S002,12,A,0,Competitor_HybridOnline,8.0,Mixed
S002,12,B,0,Competitor_HybridOnline,6.5,CaseStudies
S002,12,C,0,Competitor_HybridOnline,3.5,CaseStudies
S002,12,D,1,Competitor_HybridOnline,4.5,Projects
S002,12,None,0,,,
S002,13,A,0,Competitor_ProjectBased,6.5,CaseStudies
S002,13,B,0,Competitor_FlippedClassroom,4.5,CaseStudies
S002,13,C,0,Traditional_Lecture,8.0,Mixed
S002,13,D,1,Competitor_FlippedClassroom,4.5,Mixed
S002,13,None,0,,,
S002,14,A,0,Competitor_ProjectBased,6.5,Exams
S002,14,B,1,Competitor_FlippedClassroom,3.5,Projects
S002,14,C,0,Competitor_HybridOnline,8.0,Projects
S002,14,D,0,Competitor_FlippedClassroom,2.5,CaseStudies
S002,14,None,0,,,
S002,15,A,1,Competitor_HybridOnline,4.5,CaseStudies
S002,15,B,0,Competitor_HybridOnline,2.5,Projects
S002,15,C,0,Competitor_HybridOnline,5.5,Exams
S002,15,D,0,Competitor_HybridOnline,5.5,Exams
S002,15,None,0,,,
S002,16,A,1,Competitor_ProjectBased,4.5,CaseStudies
S002,16,B,0,Competitor_HybridOnline,6.5,Projects
S002,16,C,0,Competitor_HybridOnline,3.5,Mixed
S002,16,D,0,Competitor_HybridOnline,5.5,Exams
S002,16,None,0,,,
S002,17,A,1,Competitor_HybridOnline,4.5,CaseStudies
S002,17,B,0,Competitor_FlippedClassroom,5.5,Projects
S002,17,C,0,Traditional_Lecture,5.5,Exams
S002,17,D,0,Traditional_Lecture,8.0,CaseStudies
S002,17,None,0,,,
S002,18,A,0,Competitor_FlippedClassroom,5.5,Projects
S002,18,B,0,Traditional_Lecture,4.5,CaseStudies
S002,18,C,1,Competitor_ProjectBased,3.5,CaseStudies
S002,18,D,0,Competitor_ProjectBased,4.5,CaseStudies
S002,18,None,0,,,
S002,19,A,1,Competitor_ProjectBased,5.5,Mixed
S002,19,B,0,Traditional_Lecture,5.5,Exams
S002,19,C,0,Traditional_Lecture,4.5,Projects
S002,19,D,0,Traditional_Lecture,8.0,Exams
S002,19,None,0,,,
S002,20,A,0,Traditional_Lecture,3.5,Projects
S002,20,B,1,Traditional_Lecture,6.5,Projects
S002,20,C,0,Competitor_FlippedClassroom,3.5,CaseStudies
S002,20,D,0,Traditional_Lecture,6.5,Projects
S002,20,None,0,,,
S002,21,A,0,Competitor_HybridOnline,8.0,Mixed
S002,21,B,1,Competitor_ProjectBased,3.5,Exams
S002,21,C,0,Competitor_FlippedClassroom,4.5,Exams
S002,21,D,0,Traditional_Lecture,4.5,CaseStudies
S002,21,None,0,,,
S002,22,A,1,Competitor_HybridOnline,8.0,Projects
S002,22,B,0,Traditional_Lecture,6.5,Projects
S002,22,C,0,Traditional_Lecture,8.0,Mixed
S002,22,D,0,Traditional_Lecture,6.5,Exams
S002,22,None,0,,,
S002,23,A,0,Competitor_ProjectBased,6.5,CaseStudies
S002,23,B,1,Competitor_ProjectBased,2.5,Mixed
S002,23,C,0,Traditional_Lecture,5.5,CaseStudies
S002,23,D,0,Traditional_Lecture,5.5,Mixed
S002,23,None,0,,,
S002,24,A,0,Competitor_HybridOnline,8.0,Projects
S002,24,B,0,Competitor_HybridOnline,3.5,Mixed
S002,24,C,1,Competitor_HybridOnline,5.5,CaseStudies
S002,24,D,0,Competitor_ProjectBased,4.5,Projects
S002,24,None,0,,,
S002,25,A,0,Traditional_Lecture,4.5,CaseStudies
S002,25,B,0,Competitor_FlippedClassroom,5.5,CaseStudies
S002,25,C,1,Competitor_ProjectBased,2.5,CaseStudies
S002,25,D,0,Competitor_ProjectBased,3.5,CaseStudies
S002,25,None,0,,,
S002,26,A,0,Competitor_FlippedClassroom,4.5,Mixed
S002,26,B,0,Competitor_ProjectBased,4.5,Mixed
S002,26,C,0,Traditional_Lecture,6.5,Projects
S002,26,D,1,Traditional_Lecture,3.5,CaseStudies
S002,26,None,0,,,
S002,27,A,1,Competitor_HybridOnline,6.5,Projects
S002,27,B,0,Competitor_HybridOnline,8.0,CaseStudies
S002,27,C,0,Competitor_HybridOnline,2.5,Exams
S002,27,D,0,Competitor_ProjectBased,3.5,CaseStudies
S002,27,None,0,,,
S002,28,A,0,Competitor_FlippedClassroom,4.5,Mixed
S002,28,B,0,Competitor_HybridOnline,6.5,Mixed
S002,28,C,1,Competitor_HybridOnline,8.0,Mixed
S002,28,D,0,Competitor_ProjectBased,8.0,CaseStudies
S002,28,None,0,,,
S002,29,A,0,Competitor_ProjectBased,4.5,Mixed
S002,29,B,0,Competitor_FlippedClassroom,2.5,Projects
S002,29,C,1,Competitor_ProjectBased,2.5,Projects
S002,29,D,0,Competitor_FlippedClassroom,3.5,CaseStudies
S002,29,None,0,,,
S002,30,A,0,Competitor_ProjectBased,8.0,Mixed
S002,30,B,0,Traditional_Lecture,3.5,Mixed
S002,30,C,0,Competitor_FlippedClassroom,4.5,Projects
S002,30,D,1,Competitor_ProjectBased,2.5,Projects
S002,30,None,0,,,
S003,1,A,0,Competitor_ProjectBased,2.5,Exams
S003,1,B,0,Competitor_ProjectBased,8.0,Projects
S003,1,C,1,Competitor_HybridOnline,2.5,Exams
S003,1,D,0,Competitor_ProjectBased,5.5,CaseStudies
S003,1,None,0,,,
S003,2,A,1,Competitor_HybridOnline,4.5,Projects
S003,2,B,0,Traditional_Lecture,4.5,CaseStudies
S003,2,C,0,Traditional_Lecture,2.5,CaseStudies
S003,2,D,0,Competitor_HybridOnline,2.5,Exams
S003,2,None,0,,,
S003,3,A,1,Competitor_FlippedClassroom,3.5,Mixed
S003,3,B,0,Traditional_Lecture,3.5,Exams
S003,3,C,0,Competitor_HybridOnline,6.5,Projects
S003,3,D,0,Competitor_HybridOnline,5.5,CaseStudies
S003,3,None,0,,,
S003,4,A,0,Competitor_ProjectBased,6.5,CaseStudies
S003,4,B,1,Competitor_ProjectBased,6.5,Exams
S003,4,C,0,Traditional_Lecture,3.5,Projects
S003,4,D,0,Competitor_ProjectBased,8.0,Exams
S003,4,None,0,,,
S003,5,A,0,Competitor_FlippedClassroom,3.5,Projects
S003,5,B,0,Traditional_Lecture,3.5,Exams
S003,5,C,0,Competitor_HybridOnline,5.5,CaseStudies
S003,5,D,0,Competitor_ProjectBased,2.5,Projects
S003,5,None,1,,,
S003,6,A,1,Competitor_ProjectBased,8.0,Mixed
S003,6,B,0,Competitor_HybridOnline,2.5,Projects
S003,6,C,0,Competitor_ProjectBased,8.0,Projects
S003,6,D,0,Competitor_HybridOnline,2.5,Projects
S003,6,None,0,,,
S003,7,A,1,Competitor_FlippedClassroom,4.5,Projects
S003,7,B,0,Traditional_Lecture,2.5,Projects
S003,7,C,0,Competitor_ProjectBased,6.5,Mixed
S003,7,D,0,Competitor_HybridOnline,2.5,CaseStudies
S003,7,None,0,,,
S003,8,A,0,Competitor_ProjectBased,8.0,CaseStudies
S003,8,B,0,Competitor_ProjectBased,6.5,CaseStudies
S003,8,C,1,Competitor_HybridOnline,2.5,Exams
S003,8,D,0,Competitor_HybridOnline,8.0,Mixed
S003,8,None,0,,,
S003,9,A,0,Competitor_ProjectBased,2.5,Exams
S003,9,B,0,Competitor_FlippedClassroom,8.0,Exams
S003,9,C,1,Competitor_ProjectBased,6.5,Exams
S003,9,D,0,Competitor_FlippedClassroom,5.5,CaseStudies
S003,9,None,0,,,
S003,10,A,0,Competitor_ProjectBased,3.5,CaseStudies
S003,10,B,1,Competitor_HybridOnline,2.5,CaseStudies
S003,10,C,0,Competitor_ProjectBased,5.5,Mixed
S003,10,D,0,Competitor_ProjectBased,8.0,Exams
S003,10,None,0,,,
S003,11,A,1,Competitor_FlippedClassroom,4.5,CaseStudies
S003,11,B,0,Competitor_HybridOnline,4.5,CaseStudies
S003,11,C,0,Traditional_Lecture,5.5,Exams
S003,11,D,0,Competitor_ProjectBased,4.5,Mixed
S003,11,None,0,,,
S003,12,A,1,Traditional_Lecture,5.5,Exams
S003,12,B,0,Competitor_HybridOnline,5.5,Exams
S003,12,C,0,Competitor_FlippedClassroom,6.5,Mixed
S003,12,D,0,Competitor_HybridOnline,8.0,CaseStudies
S003,12,None,0,,,
S003,13,A,0,Traditional_Lecture,3.5,Mixed
S003,13,B,1,Competitor_FlippedClassroom,4.5,CaseStudies
S003,13,C,0,Competitor_HybridOnline,2.5,Exams
S003,13,D,0,Competitor_FlippedClassroom,8.0,Projects
S003,13,None,0,,,
S003,14,A,0,Competitor_ProjectBased,6.5,Exams
S003,14,B,0,Competitor_HybridOnline,2.5,Projects
S003,14,C,1,Traditional_Lecture,5.5,Exams
S003,14,D,0,Competitor_FlippedClassroom,5.5,Mixed
S003,14,None,0,,,
S003,15,A,0,Competitor_ProjectBased,5.5,CaseStudies
S003,15,B,0,Competitor_HybridOnline,3.5,CaseStudies
S003,15,C,1,Competitor_FlippedClassroom,5.5,Projects
S003,15,D,0,Competitor_FlippedClassroom,2.5,Mixed
S003,15,None,0,,,
S003,16,A,1,Competitor_HybridOnline,4.5,Mixed
S003,16,B,0,Traditional_Lecture,4.5,Mixed
S003,16,C,0,Competitor_HybridOnline,3.5,CaseStudies
S003,16,D,0,Competitor_HybridOnline,4.5,Mixed
S003,16,None,0,,,
S003,17,A,1,Competitor_HybridOnline,5.5,Mixed
S003,17,B,0,Competitor_FlippedClassroom,8.0,Projects
S003,17,C,0,Competitor_HybridOnline,3.5,CaseStudies
S003,17,D,0,Traditional_Lecture,4.5,CaseStudies
S003,17,None,0,,,
S003,18,A,0,Competitor_HybridOnline,5.5,Projects
S003,18,B,0,Competitor_HybridOnline,2.5,Projects
S003,18,C,0,Competitor_ProjectBased,2.5,CaseStudies
S003,18,D,0,Traditional_Lecture,6.5,CaseStudies
S003,18,None,1,,,
S003,19,A,0,Traditional_Lecture,8.0,Projects
S003,19,B,1,Competitor_HybridOnline,8.0,Projects
S003,19,C,0,Traditional_Lecture,5.5,Mixed
S003,19,D,0,Competitor_ProjectBased,6.5,CaseStudies
S003,19,None,0,,,
S003,20,A,0,Traditional_Lecture,4.5,CaseStudies
S003,20,B,0,Competitor_ProjectBased,8.0,CaseStudies
S003,20,C,1,Traditional_Lecture,6.5,Exams
S003,20,D,0,Competitor_FlippedClassroom,8.0,Mixed
S003,20,None,0,,,
S003,21,A,0,Competitor_FlippedClassroom,8.0,Exams
S003,21,B,1,Competitor_HybridOnline,2.5,Exams
S003,21,C,0,Competitor_HybridOnline,3.5,Mixed
S003,21,D,0,Traditional_Lecture,2.5,Mixed
S003,21,None,0,,,
S003,22,A,0,Traditional_Lecture,4.5,Mixed
S003,22,B,0,Competitor_ProjectBased,5.5,Projects
S003,22,C,0,Competitor_FlippedClassroom,6.5,CaseStudies
S003,22,D,1,Competitor_FlippedClassroom,3.5,Projects
S003,22,None,0,,,
S003,23,A,0,Traditional_Lecture,6.5,CaseStudies
S003,23,B,0,Competitor_FlippedClassroom,5.5,Projects
S003,23,C,0,Competitor_FlippedClassroom,5.5,Mixed
S003,23,D,0,Competitor_HybridOnline,4.5,Exams
S003,23,None,1,,,
S003,24,A,1,Competitor_HybridOnline,4.5,Projects
S003,24,B,0,Traditional_Lecture,5.5,Mixed
S003,24,C,0,Competitor_ProjectBased,8.0,CaseStudies
S003,24,D,0,Competitor_ProjectBased,5.5,Mixed
S003,24,None,0,,,
S003,25,A,0,Competitor_FlippedClassroom,5.5,CaseStudies
S003,25,B,0,Traditional_Lecture,3.5,CaseStudies
S003,25,C,0,Competitor_ProjectBased,6.5,Mixed
S003,25,D,1,Competitor_ProjectBased,2.5,CaseStudies
S003,25,None,0,,,
S003,26,A,0,Competitor_ProjectBased,2.5,Exams
S003,26,B,0,Competitor_HybridOnline,4.5,Projects
S003,26,C,0,Competitor_ProjectBased,3.5,Projects
S003,26,D,0,Competitor_ProjectBased,8.0,Projects
S003,26,None,1,,,
S003,27,A,0,Traditional_Lecture,8.0,Exams
S003,27,B,1,Competitor_ProjectBased,5.5,Exams
S003,27,C,0,Competitor_ProjectBased,8.0,Projects
S003,27,D,0,Traditional_Lecture,4.5,Mixed
S003,27,None,0,,,
S003,28,A,0,Competitor_HybridOnline,3.5,Projects
S003,28,B,0,Competitor_FlippedClassroom,6.5,Mixed
S003,28,C,0,Competitor_ProjectBased,3.5,Mixed
S003,28,D,1,Competitor_HybridOnline,4.5,Mixed
S003,28,None,0,,,
S003,29,A,0,Traditional_Lecture,5.5,Exams
S003,29,B,0,Competitor_FlippedClassroom,3.5,CaseStudies
S003,29,C,1,Competitor_ProjectBased,2.5,CaseStudies
S003,29,D,0,Traditional_Lecture,4.5,Exams
S003,29,None,0,,,
S003,30,A,0,Competitor_HybridOnline,4.5,Mixed
S003,30,B,0,Competitor_HybridOnline,8.0,Mixed
S003,30,C,0,Traditional_Lecture,8.0,Projects
S003,30,D,1,Competitor_HybridOnline,2.5,Mixed
S003,30,None,0,,,
S004,1,A,0,Competitor_FlippedClassroom,8.0,Exams
S004,1,B,0,Competitor_HybridOnline,8.0,Mixed
S004,1,C,0,Competitor_HybridOnline,2.5,Projects
S004,1,D,0,Traditional_Lecture,2.5,Mixed
S004,1,None,1,,,
S004,2,A,0,Competitor_HybridOnline,2.5,Exams
S004,2,B,0,Competitor_FlippedClassroom,6.5,Projects
S004,2,C,0,Competitor_HybridOnline,5.5,Mixed
S004,2,D,1,Competitor_HybridOnline,6.5,Projects
S004,2,None,0,,,
S004,3,A,0,Competitor_HybridOnline,8.0,Exams
S004,3,B,1,Competitor_HybridOnline,6.5,CaseStudies
S004,3,C,0,Competitor_ProjectBased,2.5,Mixed
S004,3,D,0,Competitor_FlippedClassroom,5.5,CaseStudies
S004,3,None,0,,,
S004,4,A,0,Competitor_FlippedClassroom,4.5,Exams
S004,4,B,0,Competitor_ProjectBased,6.5,Mixed
S004,4,C,0,Traditional_Lecture,5.5,Mixed
S004,4,D,1,Competitor_FlippedClassroom,2.5,CaseStudies
S004,4,None,0,,,
S004,5,A,0,Traditional_Lecture,8.0,Projects
S004,5,B,0,Traditional_Lecture,2.5,Mixed
S004,5,C,0,Competitor_FlippedClassroom,3.5,Projects
S004,5,D,0,Traditional_Lecture,6.5,Projects
S004,5,None,1,,,
S004,6,A,0,Competitor_FlippedClassroom,3.5,Mixed
S004,6,B,0,Competitor_FlippedClassroom,6.5,Exams
S004,6,C,1,Competitor_ProjectBased,3.5,Projects
S004,6,D,0,Competitor_ProjectBased,3.5,Exams
S004,6,None,0,,,
S004,7,A,0,Traditional_Lecture,3.5,Exams
S004,7,B,0,Competitor_ProjectBased,3.5,Mixed
S004,7,C,0,Traditional_Lecture,3.5,Mixed
S004,7,D,1,Traditional_Lecture,3.5,CaseStudies
S004,7,None,0,,,
S004,8,A,0,Traditional_Lecture,8.0,Exams
S004,8,B,1,Competitor_HybridOnline,5.5,Mixed
S004,8,C,0,Traditional_Lecture,5.5,Projects
S004,8,D,0,Traditional_Lecture,8.0,Mixed
S004,8,None,0,,,
S004,9,A,0,Competitor_HybridOnline,8.0,Exams
S004,9,B,0,Traditional_Lecture,5.5,CaseStudies
S004,9,C,0,Competitor_HybridOnline,8.0,Exams
S004,9,D,0,Competitor_HybridOnline,8.0,CaseStudies
S004,9,None,1,,,
S004,10,A,0,Traditional_Lecture,2.5,Mixed
S004,10,B,0,Competitor_FlippedClassroom,2.5,Projects
S004,10,C,0,Competitor_ProjectBased,6.5,Mixed
S004,10,D,1,Competitor_HybridOnline,6.5,Mixed
S004,10,None,0,,,
S004,11,A,0,Competitor_HybridOnline,6.5,CaseStudies
S004,11,B,1,Traditional_Lecture,8.0,Exams
S004,11,C,0,Competitor_FlippedClassroom,5.5,CaseStudies
S004,11,D,0,Competitor_FlippedClassroom,5.5,Mixed
S004,11,None,0,,,
S004,12,A,0,Competitor_HybridOnline,5.5,CaseStudies
S004,12,B,1,Traditional_Lecture,4.5,CaseStudies
S004,12,C,0,Competitor_ProjectBased,8.0,Mixed
S004,12,D,0,Competitor_ProjectBased,3.5,CaseStudies
S004,12,None,0,,,
S004,13,A,1,Traditional_Lecture,2.5,Exams
S004,13,B,0,Traditional_Lecture,5.5,Exams
S004,13,C,0,Competitor_ProjectBased,3.5,Exams
S004,13,D,0,Competitor_ProjectBased,8.0,Exams
S004,13,None,0,,,
S004,14,A,0,Competitor_HybridOnline,4.5,CaseStudies
S004,14,B,0,Traditional_Lecture,4.5,Mixed
S004,14,C,0,Competitor_ProjectBased,2.5,Projects
S004,14,D,0,Competitor_FlippedClassroom,8.0,CaseStudies
S004,14,None,1,,,
S004,15,A,0,Competitor_FlippedClassroom,2.5,Mixed
S004,15,B,0,Competitor_ProjectBased,2.5,Mixed
S004,15,C,0,Competitor_FlippedClassroom,5.5,Exams
S004,15,D,1,Competitor_ProjectBased,2.5,Projects
S004,15,None,0,,,
S004,16,A,0,Competitor_ProjectBased,8.0,Mixed
S004,16,B,0,Competitor_ProjectBased,4.5,Exams
