respondent_id,task_id,alternative_id,chosen,Music Library,Audio Quality,Podcast Access,Social Features,Price Tier
8,2,2,0,50M songs,High-Fi,Full Library,Shared Playlists,$5.99/mo
8,2,3,1,80M songs,Lossless,Full Library,Shared Playlists,Free w/ Ads
8,3,1,1,50M songs,Lossless,Full Library,Live Listening,$5.99/mo
8,3,2,0,50M songs,Standard,Full Library,Shared Playlists,$11.99/mo
8,3,3,0,50M songs,Lossless,Limited,None,$11.99/mo
8,4,1,0,50M songs,High-Fi,Limited,None,$5.99/mo
8,4,2,1,100M+ songs,Standard,Full Library,Shared Playlists,$11.99/mo
8,4,3,0,100M+ songs,High-Fi,None,Shared Playlists,$5.99/mo
8,5,1,0,80M songs,Lossless,None,None,Free w/ Ads
8,5,2,0,100M+ songs,Lossless,Limited,Live Listening,$5.99/mo
8,5,3,1,100M+ songs,High-Fi,Limited,Shared Playlists,Free w/ Ads
8,6,1,0,100M+ songs,High-Fi,None,Shared Playlists,$11.99/mo
8,6,2,0,100M+ songs,High-Fi,Full Library,None,Free w/ Ads
8,6,3,1,100M+ songs,Lossless,Full Library,Shared Playlists,$5.99/mo
8,7,1,1,100M+ songs,Lossless,Full Library,Shared Playlists,$11.99/mo
8,7,2,0,100M+ songs,Standard,None,None,$5.99/mo
8,7,3,0,80M songs,Lossless,Full Library,None,$11.99/mo
8,8,1,0,50M songs,High-Fi,Limited,Live Listening,$11.99/mo
8,8,2,0,80M songs,Lossless,Limited,None,Free w/ Ads
8,8,3,1,100M+ songs,Lossless,Full Library,None,Free w/ Ads
9,1,1,1,100M+ songs,High-Fi,Full Library,None,Free w/ Ads
9,1,2,0,100M+ songs,High-Fi,Limited,Shared Playlists,Free w/ Ads
9,1,3,0,50M songs,Standard,Limited,Shared Playlists,$5.99/mo
9,2,1,0,80M songs,High-Fi,Full Library,Live Listening,$11.99/mo
9,2,2,1,100M+ songs,High-Fi,Full Library,Live Listening,Free w/ Ads
9,2,3,0,50M songs,High-Fi,None,Live Listening,$5.99/mo
9,3,1,0,80M songs,Lossless,None,Shared Playlists,$5.99/mo
9,3,2,1,50M songs,Standard,Limited,Live Listening,Free w/ Ads
9,3,3,0,100M+ songs,High-Fi,Full Library,Shared Playlists,$5.99/mo
9,4,1,0,100M+ songs,High-Fi,Full Library,Shared Playlists,$5.99/mo
9,4,2,0,50M songs,Lossless,Full Library,None,$5.99/mo
9,4,3,1,100M+ songs,High-Fi,None,Shared Playlists,$5.99/mo
9,5,1,1,100M+ songs,Lossless,Full Library,None,Free w/ Ads
9,5,2,0,80M songs,Lossless,Limited,None,$11.99/mo
9,5,3,0,100M+ songs,Lossless,Full Library,None,$5.99/mo
9,6,1,0,100M+ songs,High-Fi,Limited,None,$5.99/mo
9,6,2,1,50M songs,Standard,None,Shared Playlists,Free w/ Ads
9,6,3,0,100M+ songs,Lossless,None,None,$5.99/mo
9,7,1,1,100M+ songs,High-Fi,Full Library,None,$5.99/mo
9,7,2,0,100M+ songs,High-Fi,Limited,Shared Playlists,Free w/ Ads
9,7,3,0,50M songs,Lossless,Limited,Live Listening,$11.99/mo
9,8,1,1,80M songs,High-Fi,Limited,Shared Playlists,Free w/ Ads
9,8,2,0,100M+ songs,Standard,Limited,Shared Playlists,$11.99/mo
9,8,3,0,80M songs,Lossless,None,Shared Playlists,$11.99/mo
10,1,1,1,80M songs,High-Fi,Limited,Shared Playlists,Free w/ Ads
10,1,2,0,100M+ songs,Lossless,None,Live Listening,$11.99/mo
10,1,3,0,50M songs,Standard,Full Library,None,$11.99/mo
10,2,1,0,50M songs,Lossless,None,None,$11.99/mo
10,2,2,1,80M songs,Standard,Limited,Shared Playlists,$5.99/mo
10,2,3,0,50M songs,Lossless,None,Live Listening,$5.99/mo
10,3,1,1,50M songs,Standard,Limited,None,Free w/ Ads
10,3,2,0,50M songs,Lossless,Full Library,Shared Playlists,$11.99/mo
10,3,3,0,50M songs,Standard,Full Library,Live Listening,Free w/ Ads
10,4,1,0,80M songs,High-Fi,Limited,Shared Playlists,$11.99/mo
10,4,2,1,50M songs,High-Fi,Limited,None,Free w/ Ads
10,4,3,0,80M songs,Lossless,None,Live Listening,$11.99/mo
10,5,1,0,100M+ songs,Standard,Full Library,Shared Playlists,Free w/ Ads
10,5,2,1,50M songs,Standard,Limited,Shared Playlists,Free w/ Ads
10,5,3,0,100M+ songs,High-Fi,Full Library,Shared Playlists,$11.99/mo
10,6,1,1,50M songs,Lossless,Limited,None,$11.99/mo
10,6,2,0,80M songs,Lossless,Full Library,Live Listening,$11.99/mo
10,6,3,0,100M+ songs,High-Fi,Limited,Live Listening,$5.99/mo
10,7,1,0,50M songs,High-Fi,Limited,Live Listening,$11.99/mo
10,7,2,0,80M songs,High-Fi,None,Shared Playlists,Free w/ Ads
10,7,3,1,80M songs,Lossless,Full Library,Shared Playlists,Free w/ Ads
10,8,1,0,50M songs,Lossless,Full Library,Shared Playlists,Free w/ Ads
10,8,2,0,100M+ songs,High-Fi,Limited,None,Free w/ Ads
10,8,3,1,50M songs,High-Fi,None,Shared Playlists,Free w/ Ads
11,1,1,0,80M songs,Standard,None,Shared Playlists,$5.99/mo
11,1,2,0,100M+ songs,Lossless,None,None,$11.99/mo
11,1,3,1,80M songs,High-Fi,Limited,Shared Playlists,$11.99/mo
11,2,1,0,100M+ songs,Standard,Limited,Live Listening,$11.99/mo
11,2,2,0,80M songs,Standard,Full Library,Shared Playlists,Free w/ Ads
11,2,3,1,100M+ songs,High-Fi,Full Library,Live Listening,$11.99/mo
11,3,1,1,100M+ songs,Lossless,Full Library,None,Free w/ Ads
11,3,2,0,100M+ songs,Lossless,Limited,Live Listening,$5.99/mo
11,3,3,0,50M songs,Lossless,Full Library,Shared Playlists,$5.99/mo
11,4,1,1,80M songs,Lossless,Limited,None,$5.99/mo
11,4,2,0,100M+ songs,High-Fi,None,Shared Playlists,Free w/ Ads
11,4,3,0,100M+ songs,Lossless,None,Shared Playlists,$5.99/mo
11,5,1,1,100M+ songs,Lossless,Full Library,None,Free w/ Ads
11,5,2,0,50M songs,Lossless,Full Library,Shared Playlists,$5.99/mo
11,5,3,0,80M songs,High-Fi,Full Library,Shared Playlists,Free w/ Ads
11,6,1,0,50M songs,High-Fi,Limited,None,Free w/ Ads
11,6,2,0,100M+ songs,High-Fi,Full Library,Live Listening,$11.99/mo
11,6,3,1,80M songs,High-Fi,None,Live Listening,$5.99/mo
11,7,1,0,100M+ songs,Lossless,Full Library,None,$5.99/mo
11,7,2,0,80M songs,Standard,Full Library,Live Listening,Free w/ Ads
11,7,3,1,100M+ songs,Lossless,Limited,Shared Playlists,Free w/ Ads
11,8,1,0,100M+ songs,Standard,Limited,Shared Playlists,$11.99/mo
11,8,2,0,80M songs,Lossless,Limited,Shared Playlists,Free w/ Ads
11,8,3,1,80M songs,High-Fi,None,Shared Playlists,$11.99/mo
12,1,1,1,100M+ songs,High-Fi,Limited,Live Listening,Free w/ Ads
12,1,2,0,80M songs,Standard,Full Library,Live Listening,$11.99/mo
12,1,3,0,80M songs,Standard,Limited,Live Listening,$5.99/mo
12,2,1,0,80M songs,High-Fi,None,None,$11.99/mo
12,2,2,1,100M+ songs,Lossless,Full Library,Live Listening,Free w/ Ads
12,2,3,0,50M songs,Standard,Limited,Shared Playlists,$11.99/mo
12,3,1,0,80M songs,High-Fi,Limited,Shared Playlists,$11.99/mo
12,3,2,0,100M+ songs,Lossless,Limited,Shared Playlists,$5.99/mo
12,3,3,1,100M+ songs,High-Fi,Full Library,Shared Playlists,Free w/ Ads
12,4,1,0,100M+ songs,High-Fi,Full Library,Live Listening,$11.99/mo
12,4,2,0,50M songs,High-Fi,Full Library,Shared Playlists,$11.99/mo
12,4,3,1,50M songs,High-Fi,Full Library,Live Listening,Free w/ Ads
12,5,1,0,100M+ songs,Standard,None,Shared Playlists,$11.99/mo
12,5,2,1,50M songs,High-Fi,Full Library,Live Listening,Free w/ Ads
12,5,3,0,100M+ songs,High-Fi,None,Live Listening,$5.99/mo
12,6,1,0,50M songs,High-Fi,None,Live Listening,$5.99/mo
12,6,2,0,100M+ songs,High-Fi,Full Library,Live Listening,$11.99/mo
12,6,3,1,80M songs,Standard,None,Live Listening,$5.99/mo
12,7,1,0,50M songs,Lossless,Limited,Live Listening,$5.99/mo
12,7,2,0,80M songs,High-Fi,Limited,Live Listening,Free w/ Ads
12,7,3,1,80M songs,Standard,None,Shared Playlists,Free w/ Ads
12,8,1,1,80M songs,High-Fi,Full Library,None,$5.99/mo
12,8,2,0,80M songs,Lossless,None,Shared Playlists,$11.99/mo
12,8,3,0,50M songs,High-Fi,Limited,Shared Playlists,$5.99/mo
13,1,1,0,50M songs,Lossless,None,Shared Playlists,$11.99/mo
13,1,2,1,50M songs,High-Fi,None,Shared Playlists,Free w/ Ads
13,1,3,0,50M songs,High-Fi,Full Library,Live Listening,$5.99/mo
13,2,1,0,100M+ songs,Standard,Full Library,None,$5.99/mo
13,2,2,1,100M+ songs,Lossless,Full Library,Shared Playlists,$5.99/mo
13,2,3,0,50M songs,Standard,None,Live Listening,$5.99/mo
13,3,1,0,100M+ songs,High-Fi,Full Library,None,Free w/ Ads
13,3,2,1,100M+ songs,Lossless,Limited,Live Listening,$5.99/mo
13,3,3,0,50M songs,Lossless,Limited,None,$11.99/mo
13,4,1,0,50M songs,Standard,None,Live Listening,$11.99/mo
13,4,2,0,50M songs,Standard,Full Library,Shared Playlists,Free w/ Ads
13,4,3,1,50M songs,Lossless,None,Shared Playlists,$5.99/mo
13,5,1,1,80M songs,Standard,Full Library,None,Free w/ Ads
13,5,2,0,80M songs,Lossless,Limited,Shared Playlists,$5.99/mo
13,5,3,0,80M songs,High-Fi,Full Library,None,$11.99/mo
13,6,1,0,50M songs,Standard,Full Library,Shared Playlists,$5.99/mo
13,6,2,0,80M songs,Standard,Limited,Live Listening,Free w/ Ads
13,6,3,1,80M songs,Standard,Full Library,Shared Playlists,$5.99/mo
13,7,1,0,50M songs,Standard,Full Library,Live Listening,$11.99/mo
13,7,2,0,80M songs,Standard,Limited,Shared Playlists,$11.99/mo
13,7,3,1,100M+ songs,High-Fi,Full Library,None,Free w/ Ads
13,8,1,1,100M+ songs,High-Fi,Full Library,Shared Playlists,Free w/ Ads
13,8,2,0,50M songs,Standard,Full Library,Shared Playlists,$11.99/mo
13,8,3,0,80M songs,Lossless,None,None,Free w/ Ads
14,1,1,0,80M songs,High-Fi,None,Live Listening,$5.99/mo
14,1,2,1,50M songs,Standard,Full Library,Live Listening,Free w/ Ads
14,1,3,0,100M+ songs,Lossless,None,None,$11.99/mo
14,2,1,1,100M+ songs,Lossless,Limited,None,$5.99/mo
14,2,2,0,80M songs,Lossless,None,None,$5.99/mo
14,2,3,0,80M songs,Lossless,Limited,None,$5.99/mo
14,3,1,1,50M songs,High-Fi,Limited,Live Listening,$5.99/mo
14,3,2,0,100M+ songs,High-Fi,Limited,None,$5.99/mo
14,3,3,0,80M songs,Standard,Limited,Shared Playlists,$11.99/mo
14,4,1,0,50M songs,Standard,None,Live Listening,$11.99/mo
14,4,2,0,50M songs,Lossless,Limited,None,$5.99/mo
14,4,3,1,100M+ songs,Standard,Full Library,Shared Playlists,$5.99/mo
14,5,1,0,50M songs,Lossless,Limited,Shared Playlists,$5.99/mo
14,5,2,0,50M songs,High-Fi,None,Live Listening,$5.99/mo
14,5,3,1,80M songs,Standard,Limited,Shared Playlists,Free w/ Ads
14,6,1,1,100M+ songs,High-Fi,Full Library,None,$5.99/mo
14,6,2,0,80M songs,Standard,Limited,None,$11.99/mo
14,6,3,0,50M songs,Lossless,Full Library,None,$5.99/mo
14,7,1,0,100M+ songs,High-Fi,Full Library,Shared Playlists,Free w/ Ads
14,7,2,1,50M songs,Standard,Limited,Live Listening,$5.99/mo
14,7,3,0,100M+ songs,Lossless,Full Library,Shared Playlists,Free w/ Ads
14,8,1,0,50M songs,Lossless,None,None,$11.99/mo
14,8,2,0,80M songs,High-Fi,Limited,Live Listening,$11.99/mo
14,8,3,1,100M+ songs,Standard,Limited,None,Free w/ Ads
15,1,1,0,50M songs,Lossless,Limited,Live Listening,$11.99/mo
15,1,2,0,50M songs,High-Fi,Limited,Live Listening,$5.99/mo
15,1,3,1,80M songs,High-Fi,Full Library,Shared Playlists,$5.99/mo
15,2,1,0,100M+ songs,Standard,None,Live Listening,$5.99/mo
15,2,2,0,50M songs,Standard,Limited,Live Listening,Free w/ Ads
15,2,3,1,80M songs,High-Fi,None,Shared Playlists,$5.99/mo
15,3,1,1,50M songs,Lossless,Full Library,Shared Playlists,Free w/ Ads
15,3,2,0,50M songs,Standard,Limited,Shared Playlists,Free w/ Ads
15,3,3,0,50M songs,Lossless,Limited,None,Free w/ Ads
15,4,1,0,80M songs,Standard,Limited,None,$5.99/mo
15,4,2,1,50M songs,High-Fi,None,Shared Playlists,Free w/ Ads
15,4,3,0,100M+ songs,Lossless,Full Library,Live Listening,Free w/ Ads
15,5,1,1,50M songs,Standard,Full Library,Shared Playlists,$11.99/mo
15,5,2,0,50M songs,Lossless,None,Live Listening,$11.99/mo
15,5,3,0,50M songs,High-Fi,Full Library,None,Free w/ Ads
15,6,1,0,50M songs,Standard,None,Shared Playlists,$11.99/mo
15,6,2,0,50M songs,Standard,None,None,Free w/ Ads
15,6,3,1,100M+ songs,Lossless,None,Shared Playlists,Free w/ Ads
15,7,1,0,50M songs,Lossless,Full Library,None,$11.99/mo
15,7,2,1,50M songs,Standard,Limited,Shared Playlists,Free w/ Ads
15,7,3,0,100M+ songs,Standard,None,Shared Playlists,$11.99/mo
15,8,1,0,100M+ songs,Lossless,Limited,Live Listening,$5.99/mo
15,8,2,0,100M+ songs,Lossless,None,None,$5.99/mo
15,8,3,1,80M songs,Standard,None,Live Listening,Free w/ Ads
16,1,1,1,100M+ songs,Lossless,Limited,Live Listening,Free w/ Ads
16,1,2,0,100M+ songs,Lossless,None,Shared Playlists,Free w/ Ads
16,1,3,0,50M songs,Lossless,Full Library,Shared Playlists,$11.99/mo
16,2,1,0,50M songs,Standard,None,Shared Playlists,$11.99/mo
16,2,2,1,100M+ songs,Lossless,Limited,Live Listening,$11.99/mo
16,2,3,0,80M songs,Lossless,None,Shared Playlists,$5.99/mo
16,3,1,0,100M+ songs,Standard,Full Library,Live Listening,$11.99/mo
16,3,2,0,80M songs,Lossless,Limited,Shared Playlists,$11.99/mo
16,3,3,1,50M songs,Lossless,Limited,None,$11.99/mo
16,4,1,0,50M songs,High-Fi,Full Library,Shared Playlists,$5.99/mo
16,4,2,1,80M songs,Lossless,Limited,None,Free w/ Ads
16,4,3,0,80M songs,Lossless,None,Live Listening,$5.99/mo
16,5,1,0,50M songs,Lossless,Limited,Live Listening,$5.99/mo
16,5,2,0,50M songs,Lossless,Limited,Live Listening,$11.99/mo
16,5,3,1,80M songs,Standard,Full Library,Live Listening,Free w/ Ads
16,6,1,0,100M+ songs,High-Fi,Full Library,None,$5.99/mo
16,6,2,0,80M songs,High-Fi,Limited,Shared Playlists,$11.99/mo
16,6,3,1,50M songs,Lossless,Limited,Shared Playlists,$11.99/mo
16,7,1,1,50M songs,Lossless,Limited,Shared Playlists,$5.99/mo
16,7,2,0,80M songs,Lossless,Limited,Shared Playlists,Free w/ Ads
16,7,3,0,50M songs,High-Fi,Full Library,Shared Playlists,Free w/ Ads
16,8,1,0,50M songs,High-Fi,Limited,None,$11.99/mo
