respondent_id,task_id,alternative_id,chosen,Roast,Size,Milk Option,Origin
5,10,1,0,Medium,Medium,No Milk,Ethiopia
5,10,2,0,Medium,Medium,Oat Milk,Brazil
5,10,3,1,Medium,Large,No Milk,Brazil
6,1,1,0,Light,Medium,Whole Milk,Colombia
6,1,2,0,Dark,Medium,Oat Milk,Brazil
6,1,3,1,Medium,Large,Whole Milk,Ethiopia
6,2,1,1,Medium,Medium,Oat Milk,Ethiopia
6,2,2,0,Dark,Small,Oat Milk,Colombia
6,2,3,0,Dark,Small,No Milk,Colombia
6,3,1,1,Medium,Large,Whole Milk,Brazil
6,3,2,0,Light,Small,Oat Milk,Colombia
6,3,3,0,Medium,Small,Whole Milk,Brazil
6,4,1,0,Light,Small,Whole Milk,Ethiopia
6,4,2,1,Light,Large,Oat Milk,Colombia
6,4,3,0,Dark,Medium,Oat Milk,Ethiopia
6,5,1,0,Light,Small,Oat Milk,Ethiopia
6,5,2,0,Light,Medium,Oat Milk,Colombia
6,5,3,1,Dark,Small,No Milk,Colombia
6,6,1,1,Medium,Small,No Milk,Colombia
6,6,2,0,Medium,Large,Whole Milk,Brazil
6,6,3,0,Dark,Medium,Oat Milk,Ethiopia
6,7,1,0,Dark,Medium,Oat Milk,Brazil
6,7,2,0,Dark,Large,No Milk,Colombia
6,7,3,1,Medium,Large,No Milk,Colombia
6,8,1,0,Dark,Small,No Milk,Colombia
6,8,2,0,Dark,Large,Oat Milk,Ethiopia
6,8,3,1,Medium,Large,Oat Milk,Brazil
6,9,1,1,Light,Large,No Milk,Ethiopia
6,9,2,0,Dark,Large,Whole Milk,Colombia
6,9,3,0,Dark,Small,Whole Milk,Colombia
6,10,1,0,Light,Small,No Milk,Colombia
6,10,2,0,Dark,Large,Whole Milk,Ethiopia
6,10,3,1,Medium,Large,Oat Milk,Brazil
7,1,1,1,Dark,Large,Whole Milk,Colombia
7,1,2,0,Dark,Medium,Whole Milk,Colombia
7,1,3,0,Light,Medium,Whole Milk,Brazil
7,2,1,1,Medium,Small,Whole Milk,Ethiopia
7,2,2,0,Medium,Small,Oat Milk,Ethiopia
7,2,3,0,Medium,Large,No Milk,Colombia
7,3,1,1,Dark,Medium,Oat Milk,Brazil
7,3,2,0,Dark,Small,Oat Milk,Colombia
7,3,3,0,Medium,Small,Oat Milk,Brazil
7,4,1,0,Light,Large,Whole Milk,Ethiopia
7,4,2,1,Light,Large,Oat Milk,Brazil
7,4,3,0,Dark,Medium,No Milk,Colombia
7,5,1,0,Light,Medium,Oat Milk,Brazil
7,5,2,1,Light,Large,Whole Milk,Colombia
7,5,3,0,Medium,Large,No Milk,Brazil
7,6,1,0,Light,Small,Oat Milk,Colombia
7,6,2,0,Light,Medium,Whole Milk,Ethiopia
7,6,3,1,Medium,Medium,Oat Milk,Ethiopia
7,7,1,0,Dark,Small,Oat Milk,Colombia
7,7,2,0,Dark,Large,No Milk,Colombia
7,7,3,1,Medium,Medium,Whole Milk,Ethiopia
7,8,1,1,Medium,Large,Oat Milk,Brazil
7,8,2,0,Dark,Medium,No Milk,Ethiopia
7,8,3,0,Medium,Medium,Whole Milk,Brazil
7,9,1,0,Medium,Small,Whole Milk,Colombia
7,9,2,0,Light,Medium,No Milk,Ethiopia
7,9,3,1,Dark,Medium,Oat Milk,Brazil
7,10,1,0,Dark,Small,Oat Milk,Colombia
7,10,2,0,Dark,Medium,No Milk,Ethiopia
7,10,3,1,Medium,Small,Whole Milk,Colombia
8,1,1,0,Dark,Medium,Oat Milk,Brazil
8,1,2,0,Medium,Large,No Milk,Brazil
8,1,3,1,Dark,Large,Oat Milk,Colombia
8,2,1,0,Medium,Small,Whole Milk,Brazil
8,2,2,1,Medium,Small,Whole Milk,Ethiopia
8,2,3,0,Light,Medium,No Milk,Ethiopia
8,3,1,0,Medium,Small,No Milk,Brazil
8,3,2,0,Dark,Small,No Milk,Colombia
8,3,3,1,Medium,Large,Whole Milk,Colombia
8,4,1,1,Dark,Small,No Milk,Ethiopia
8,4,2,0,Medium,Medium,Whole Milk,Colombia
8,4,3,0,Medium,Medium,Whole Milk,Brazil
8,5,1,0,Medium,Medium,Whole Milk,Ethiopia
8,5,2,1,Medium,Large,Oat Milk,Ethiopia
8,5,3,0,Light,Medium,Oat Milk,Colombia
8,6,1,1,Dark,Medium,Whole Milk,Ethiopia
8,6,2,0,Medium,Small,Whole Milk,Ethiopia
8,6,3,0,Dark,Large,Whole Milk,Colombia
8,7,1,0,Dark,Medium,Oat Milk,Colombia
8,7,2,0,Medium,Small,Whole Milk,Colombia
8,7,3,1,Dark,Large,Whole Milk,Brazil
8,8,1,0,Dark,Small,Whole Milk,Brazil
8,8,2,1,Medium,Small,Whole Milk,Ethiopia
8,8,3,0,Light,Medium,Oat Milk,Brazil
8,9,1,0,Light,Small,Whole Milk,Ethiopia
8,9,2,1,Medium,Small,Oat Milk,Ethiopia
8,9,3,0,Medium,Large,Oat Milk,Colombia
8,10,1,0,Light,Small,No Milk,Brazil
8,10,2,1,Medium,Large,Oat Milk,Colombia
8,10,3,0,Light,Medium,Whole Milk,Colombia
9,1,1,0,Dark,Medium,Whole Milk,Colombia
9,1,2,1,Dark,Medium,Whole Milk,Ethiopia
9,1,3,0,Light,Small,No Milk,Colombia
9,2,1,0,Medium,Small,No Milk,Colombia
9,2,2,0,Light,Medium,Oat Milk,Ethiopia
9,2,3,1,Dark,Large,Whole Milk,Ethiopia
9,3,1,0,Dark,Small,Oat Milk,Brazil
9,3,2,0,Medium,Large,Oat Milk,Ethiopia
9,3,3,1,Medium,Small,Oat Milk,Ethiopia
9,4,1,0,Medium,Small,Whole Milk,Ethiopia
9,4,2,1,Dark,Medium,No Milk,Ethiopia
9,4,3,0,Light,Medium,No Milk,Brazil
9,5,1,1,Dark,Large,No Milk,Colombia
9,5,2,0,Light,Small,Whole Milk,Colombia
9,5,3,0,Dark,Small,Whole Milk,Colombia
9,6,1,0,Light,Medium,No Milk,Brazil
9,6,2,1,Light,Small,Whole Milk,Ethiopia
9,6,3,0,Light,Large,No Milk,Colombia
9,7,1,0,Light,Large,Oat Milk,Colombia
9,7,2,0,Light,Small,Whole Milk,Ethiopia
9,7,3,1,Dark,Small,Oat Milk,Ethiopia
9,8,1,0,Dark,Large,No Milk,Ethiopia
9,8,2,0,Dark,Small,Whole Milk,Brazil
9,8,3,1,Medium,Large,No Milk,Colombia
9,9,1,1,Medium,Medium,Whole Milk,Colombia
9,9,2,0,Medium,Small,No Milk,Ethiopia
9,9,3,0,Light,Small,Oat Milk,Brazil
9,10,1,1,Dark,Large,Oat Milk,Ethiopia
9,10,2,0,Dark,Medium,Oat Milk,Brazil
9,10,3,0,Light,Large,No Milk,Brazil
10,1,1,1,Medium,Medium,Whole Milk,Ethiopia
10,1,2,0,Light,Large,Oat Milk,Colombia
10,1,3,0,Light,Small,Oat Milk,Colombia
10,2,1,0,Medium,Small,Whole Milk,Colombia
10,2,2,1,Dark,Large,Oat Milk,Brazil
10,2,3,0,Medium,Large,Oat Milk,Brazil
10,3,1,0,Medium,Large,Oat Milk,Ethiopia
10,3,2,1,Dark,Small,No Milk,Brazil
10,3,3,0,Light,Medium,Whole Milk,Ethiopia
10,4,1,0,Medium,Large,No Milk,Ethiopia
10,4,2,1,Dark,Large,Whole Milk,Brazil
10,4,3,0,Dark,Large,Whole Milk,Ethiopia
10,5,1,0,Medium,Large,Oat Milk,Ethiopia
10,5,2,0,Light,Small,Whole Milk,Brazil
10,5,3,1,Light,Large,Whole Milk,Colombia
10,6,1,0,Dark,Small,Oat Milk,Ethiopia
10,6,2,0,Light,Medium,Oat Milk,Brazil
10,6,3,1,Dark,Large,No Milk,Colombia
10,7,1,0,Dark,Small,Whole Milk,Colombia
10,7,2,1,Dark,Medium,Oat Milk,Brazil
10,7,3,0,Medium,Small,Whole Milk,Colombia
10,8,1,0,Light,Medium,Whole Milk,Brazil
10,8,2,1,Dark,Large,Oat Milk,Colombia
10,8,3,0,Dark,Small,No Milk,Colombia
10,9,1,0,Light,Small,Oat Milk,Ethiopia
10,9,2,0,Light,Medium,Whole Milk,Ethiopia
10,9,3,1,Medium,Large,Whole Milk,Colombia
10,10,1,1,Dark,Medium,No Milk,Ethiopia
10,10,2,0,Light,Medium,No Milk,Ethiopia
10,10,3,0,Medium,Large,Oat Milk,Brazil
11,1,1,0,Medium,Small,No Milk,Ethiopia
11,1,2,1,Dark,Small,Oat Milk,Ethiopia
11,1,3,0,Light,Medium,No Milk,Colombia
11,2,1,1,Light,Large,Whole Milk,Colombia
11,2,2,0,Medium,Medium,Whole Milk,Brazil
11,2,3,0,Light,Small,No Milk,Ethiopia
11,3,1,0,Dark,Small,Whole Milk,Colombia
11,3,2,1,Dark,Medium,Oat Milk,Brazil
11,3,3,0,Medium,Large,Whole Milk,Brazil
11,4,1,0,Dark,Medium,Whole Milk,Ethiopia
11,4,2,0,Light,Medium,Oat Milk,Brazil
11,4,3,1,Medium,Large,No Milk,Ethiopia
11,5,1,0,Medium,Medium,Oat Milk,Colombia
11,5,2,0,Medium,Small,Whole Milk,Colombia
11,5,3,1,Dark,Medium,Oat Milk,Brazil
11,6,1,0,Dark,Small,Oat Milk,Brazil
11,6,2,0,Medium,Large,Oat Milk,Brazil
11,6,3,1,Light,Medium,No Milk,Ethiopia
11,7,1,0,Light,Large,Whole Milk,Colombia
11,7,2,1,Dark,Medium,Oat Milk,Brazil
11,7,3,0,Light,Medium,Oat Milk,Ethiopia
11,8,1,0,Medium,Large,Whole Milk,Colombia
11,8,2,0,Dark,Medium,No Milk,Ethiopia
11,8,3,1,Dark,Medium,Oat Milk,Ethiopia
11,9,1,0,Dark,Large,No Milk,Ethiopia
11,9,2,1,Dark,Small,Oat Milk,Ethiopia
11,9,3,0,Dark,Large,Oat Milk,Colombia
11,10,1,0,Light,Medium,Whole Milk,Ethiopia
11,10,2,0,Medium,Small,Whole Milk,Brazil
11,10,3,1,Dark,Large,Whole Milk,Colombia
12,1,1,1,Light,Medium,No Milk,Brazil
12,1,2,0,Dark,Large,No Milk,Brazil
12,1,3,0,Dark,Small,Whole Milk,Ethiopia
12,2,1,0,Light,Large,Whole Milk,Colombia
12,2,2,0,Light,Medium,Oat Milk,Brazil
12,2,3,1,Medium,Large,Oat Milk,Brazil
12,3,1,0,Light,Large,No Milk,Ethiopia
12,3,2,1,Medium,Small,Oat Milk,Brazil
12,3,3,0,Medium,Medium,Oat Milk,Ethiopia
12,4,1,0,Medium,Small,No Milk,Brazil
12,4,2,1,Medium,Small,Whole Milk,Ethiopia
12,4,3,0,Dark,Small,Whole Milk,Brazil
12,5,1,0,Medium,Small,No Milk,Ethiopia
12,5,2,1,Dark,Small,Oat Milk,Colombia
12,5,3,0,Light,Medium,Oat Milk,Colombia
12,6,1,0,Medium,Large,Oat Milk,Colombia
12,6,2,0,Light,Medium,No Milk,Colombia
12,6,3,1,Light,Large,Whole Milk,Ethiopia
12,7,1,1,Light,Small,Oat Milk,Ethiopia
12,7,2,0,Light,Large,Oat Milk,Ethiopia
12,7,3,0,Light,Small,Oat Milk,Colombia
12,8,1,0,Dark,Large,Whole Milk,Brazil
12,8,2,1,Medium,Small,Oat Milk,Colombia
12,8,3,0,Medium,Large,Whole Milk,Ethiopia
12,9,1,0,Medium,Large,Whole Milk,Colombia
12,9,2,0,Dark,Small,Whole Milk,Colombia
12,9,3,1,Light,Large,Oat Milk,Colombia
12,10,1,0,Light,Large,Whole Milk,Colombia
12,10,2,0,Medium,Small,Whole Milk,Brazil
12,10,3,1,Dark,Large,No Milk,Ethiopia
13,1,1,0,Dark,Large,Oat Milk,Colombia
13,1,2,1,Dark,Medium,Whole Milk,Colombia
13,1,3,0,Dark,Medium,Whole Milk,Ethiopia
13,2,1,0,Light,Small,Whole Milk,Ethiopia
13,2,2,0,Light,Small,No Milk,Colombia
13,2,3,1,Medium,Large,Oat Milk,Brazil
13,3,1,0,Light,Large,No Milk,Ethiopia
13,3,2,0,Light,Large,Oat Milk,Ethiopia
13,3,3,1,Medium,Medium,Oat Milk,Brazil
13,4,1,0,Medium,Medium,No Milk,Ethiopia
13,4,2,1,Medium,Large,Oat Milk,Colombia
13,4,3,0,Light,Medium,Whole Milk,Colombia
13,5,1,0,Medium,Small,No Milk,Ethiopia
13,5,2,1,Medium,Medium,Whole Milk,Brazil
13,5,3,0,Dark,Medium,Oat Milk,Ethiopia
13,6,1,0,Medium,Large,Oat Milk,Ethiopia
13,6,2,0,Light,Small,Whole Milk,Brazil
13,6,3,1,Dark,Large,Whole Milk,Colombia
13,7,1,0,Light,Large,Whole Milk,Ethiopia
13,7,2,0,Light,Small,Whole Milk,Ethiopia
13,7,3,1,Dark,Small,Whole Milk,Colombia
13,8,1,0,Medium,Medium,Oat Milk,Colombia
13,8,2,1,Dark,Medium,Oat Milk,Ethiopia
13,8,3,0,Light,Small,No Milk,Brazil
13,9,1,0,Dark,Medium,Whole Milk,Colombia
13,9,2,1,Medium,Large,Oat Milk,Colombia
13,9,3,0,Medium,Large,Oat Milk,Colombia
13,10,1,0,Light,Medium,No Milk,Brazil
13,10,2,0,Light,Large,Oat Milk,Brazil
13,10,3,1,Light,Large,Whole Milk,Ethiopia
14,1,1,0,Medium,Small,Oat Milk,Brazil
14,1,2,1,Medium,Large,No Milk,Brazil
14,1,3,0,Light,Medium,Oat Milk,Brazil
14,2,1,0,Dark,Medium,Oat Milk,Brazil
14,2,2,0,Medium,Large,No Milk,Ethiopia
14,2,3,1,Dark,Medium,No Milk,Brazil
14,3,1,1,Light,Small,Oat Milk,Brazil
14,3,2,0,Light,Small,Whole Milk,Colombia
14,3,3,0,Light,Medium,Whole Milk,Colombia
14,4,1,0,Dark,Medium,No Milk,Ethiopia
14,4,2,1,Dark,Medium,No Milk,Brazil
14,4,3,0,Dark,Small,Whole Milk,Brazil
14,5,1,0,Dark,Small,No Milk,Brazil
14,5,2,1,Dark,Medium,Whole Milk,Colombia
14,5,3,0,Light,Small,No Milk,Brazil
14,6,1,0,Medium,Large,No Milk,Brazil
14,6,2,0,Dark,Small,Oat Milk,Brazil
14,6,3,1,Dark,Medium,Oat Milk,Colombia
14,7,1,0,Dark,Medium,Oat Milk,Ethiopia
14,7,2,0,Light,Small,Oat Milk,Ethiopia
14,7,3,1,Light,Medium,Whole Milk,Colombia
14,8,1,1,Dark,Medium,Whole Milk,Ethiopia
14,8,2,0,Light,Medium,Whole Milk,Brazil
14,8,3,0,Light,Medium,No Milk,Ethiopia
14,9,1,1,Light,Small,No Milk,Ethiopia
14,9,2,0,Dark,Medium,No Milk,Colombia
14,9,3,0,Dark,Large,Oat Milk,Colombia
14,10,1,1,Medium,Large,Oat Milk,Ethiopia
14,10,2,0,Medium,Small,No Milk,Ethiopia
14,10,3,0,Light,Small,Whole Milk,Ethiopia
15,1,1,0,Medium,Medium,Oat Milk,Colombia
15,1,2,0,Dark,Large,No Milk,Ethiopia
15,1,3,1,Light,Medium,Whole Milk,Ethiopia
15,2,1,0,Medium,Large,Whole Milk,Brazil
15,2,2,1,Light,Medium,Oat Milk,Ethiopia
15,2,3,0,Medium,Small,No Milk,Brazil
15,3,1,0,Dark,Small,No Milk,Colombia
15,3,2,1,Medium,Medium,Whole Milk,Ethiopia
15,3,3,0,Dark,Small,Oat Milk,Brazil
15,4,1,1,Medium,Large,Whole Milk,Ethiopia
15,4,2,0,Dark,Large,Whole Milk,Ethiopia
15,4,3,0,Medium,Medium,No Milk,Ethiopia
15,5,1,1,Light,Medium,Whole Milk,Ethiopia
15,5,2,0,Dark,Large,Whole Milk,Colombia
15,5,3,0,Medium,Large,Whole Milk,Brazil
15,6,1,0,Light,Large,Oat Milk,Colombia
15,6,2,1,Dark,Large,Oat Milk,Colombia
15,6,3,0,Light,Small,Whole Milk,Brazil
15,7,1,0,Light,Medium,Oat Milk,Ethiopia
15,7,2,0,Dark,Small,Oat Milk,Brazil
15,7,3,1,Medium,Large,Whole Milk,Colombia
15,8,1,1,Dark,Small,Whole Milk,Ethiopia
15,8,2,0,Medium,Large,Oat Milk,Ethiopia
15,8,3,0,Medium,Large,Oat Milk,Brazil
15,9,1,1,Dark,Large,Whole Milk,Brazil
15,9,2,0,Medium,Small,No Milk,Ethiopia
15,9,3,0,Light,Medium,Oat Milk,Brazil
15,10,1,0,Dark,Medium,Oat Milk,Ethiopia
15,10,2,0,Dark,Medium,Oat Milk,Colombia
15,10,3,1,Dark,Medium,Oat Milk,Ethiopia
16,1,1,1,Dark,Medium,Whole Milk,Brazil
16,1,2,0,Light,Large,Whole Milk,Brazil
16,1,3,0,Light,Large,Whole Milk,Colombia
16,2,1,0,Light,Small,Oat Milk,Ethiopia
16,2,2,1,Light,Large,No Milk,Colombia
16,2,3,0,Light,Medium,Whole Milk,Ethiopia
16,3,1,0,Light,Medium,Oat Milk,Ethiopia
16,3,2,0,Light,Large,Whole Milk,Colombia
16,3,3,1,Dark,Small,No Milk,Ethiopia
16,4,1,0,Light,Small,Oat Milk,Ethiopia
16,4,2,1,Dark,Medium,No Milk,Colombia
16,4,3,0,Dark,Small,Oat Milk,Ethiopia
16,5,1,1,Dark,Large,Whole Milk,Ethiopia
16,5,2,0,Light,Large,Oat Milk,Ethiopia
16,5,3,0,Light,Medium,No Milk,Brazil
16,6,1,1,Medium,Large,No Milk,Colombia
16,6,2,0,Medium,Large,Whole Milk,Colombia
16,6,3,0,Dark,Medium,Oat Milk,Brazil
16,7,1,1,Medium,Large,No Milk,Colombia
16,7,2,0,Medium,Medium,No Milk,Colombia
16,7,3,0,Light,Medium,Oat Milk,Ethiopia
16,8,1,1,Dark,Large,No Milk,Ethiopia
16,8,2,0,Dark,Small,No Milk,Brazil
16,8,3,0,Medium,Small,Oat Milk,Brazil
16,9,1,1,Dark,Medium,Whole Milk,Colombia
16,9,2,0,Medium,Medium,Whole Milk,Colombia
16,9,3,0,Light,Medium,No Milk,Ethiopia
16,10,1,0,Dark,Medium,Oat Milk,Brazil
16,10,2,0,Medium,Large,Whole Milk,Colombia
16,10,3,1,Dark,Large,No Milk,Brazil
17,1,1,0,Dark,Medium,No Milk,Brazil
17,1,2,1,Dark,Medium,No Milk,Brazil
17,1,3,0,Light,Medium,No Milk,Brazil
17,2,1,1,Dark,Small,Whole Milk,Ethiopia
17,2,2,0,Medium,Large,No Milk,Ethiopia
17,2,3,0,Light,Large,No Milk,Brazil
17,3,1,1,Medium,Medium,Whole Milk,Colombia
17,3,2,0,Light,Small,Oat Milk,Colombia
17,3,3,0,Light,Small,Whole Milk,Brazil
17,4,1,0,Medium,Medium,Oat Milk,Ethiopia
17,4,2,1,Medium,Medium,No Milk,Brazil
17,4,3,0,Dark,Small,Whole Milk,Ethiopia
17,5,1,1,Dark,Medium,Whole Milk,Colombia
17,5,2,0,Light,Small,No Milk,Ethiopia
17,5,3,0,Dark,Large,Oat Milk,Brazil
17,6,1,0,Light,Small,Oat Milk,Ethiopia
17,6,2,1,Light,Large,No Milk,Colombia
17,6,3,0,Medium,Large,No Milk,Colombia
17,7,1,1,Light,Large,No Milk,Ethiopia
17,7,2,0,Dark,Small,No Milk,Brazil
17,7,3,0,Medium,Small,Whole Milk,Colombia
17,8,1,0,Light,Small,Whole Milk,Ethiopia
17,8,2,0,Dark,Large,Oat Milk,Brazil
17,8,3,1,Dark,Medium,No Milk,Ethiopia
17,9,1,0,Dark,Large,No Milk,Ethiopia
17,9,2,1,Light,Large,Whole Milk,Brazil
17,9,3,0,Dark,Large,Oat Milk,Brazil
17,10,1,1,Medium,Large,Whole Milk,Ethiopia
17,10,2,0,Medium,Large,Oat Milk,Ethiopia
17,10,3,0,Medium,Small,Whole Milk,Ethiopia
18,1,1,0,Medium,Small,Oat Milk,Brazil
18,1,2,1,Medium,Medium,No Milk,Brazil
18,1,3,0,Light,Small,Oat Milk,Ethiopia
18,2,1,0,Dark,Small,No Milk,Colombia
