id,segment,score
S0190,Low,-0.249
S0191,Low,0.457
S0192,Medium,0.432
S0193,Low,-1.131
S0194,Low,0.691
S0195,Medium,0.496
S0196,High,-0.864
S0197,Medium,0.287
S0198,Medium,1.778
S0199,Medium,-0.232
S0200,Low,0.909
S0201,Low,0.612
S0202,Medium,1.276
S0203,High,0.029
S0204,Low,-0.645
S0205,Low,-0.148
S0206,Low,-0.075
S0207,Low,-0.736
S0208,Low,-1.286
S0209,Medium,-0.09
S0210,Low,-1.664
S0211,Medium,1.086
S0212,High,1.134
S0213,Low,-1.12
S0214,High,1.703
S0215,High,0.443
S0216,High,1.012
S0217,Low,-0.634
S0218,High,1.271
S0219,Low,-1.422
S0220,Medium,-0.098
S0221,Medium,0.154
S0222,Low,-0.531
S0223,Low,-0.746
S0224,Medium,1.118
S0225,Medium,-0.483
S0226,High,1.112
S0227,Low,-1.711
S0228,Low,-1.338
S0229,Medium,0.633
S0230,High,1.549
S0231,Low,0.079
S0232,High,-0.151
S0233,Low,-1.813
S0234,Low,-1.136
S0235,Medium,1.061
S0236,Low,-1.937
S0237,Low,-1.43
S0238,Medium,0.875
S0239,High,2.105
S0240,Medium,0.985
S0241,Medium,-0.529
S0242,Medium,1.712
S0243,Medium,0.447
S0244,Low,-1.394
S0245,Medium,-0.116
S0246,Medium,0.486
S0247,Medium,0.831
S0248,Low,0.644
S0249,Low,-1.28
S0250,Medium,1.615
S0251,High,0.158
S0252,Low,0.025
S0253,Low,-0.633
S0254,Medium,0.795
S0255,Low,-0.847
S0256,High,1.326
S0257,Low,-0.59
S0258,Medium,1.648
S0259,Medium,-0.445
S0260,High,-0.166
S0261,High,1.202
S0262,Low,0.055
S0263,Medium,-0.426
S0264,Low,0.386
S0265,High,-1.134
S0266,Medium,-0.129
S0267,Low,-0.906
S0268,Low,0.11
S0269,Medium,-0.046
S0270,Low,-0.089
S0271,Medium,-0.988
S0272,Medium,0.427
S0273,Medium,-0.869
S0274,Low,-0.948
S0275,Medium,-0.134
S0276,Medium,1.23
S0277,Medium,1.42
S0278,High,0.28
S0279,Low,-0.542
S0280,Low,-1.886
S0281,Low,0.7
S0282,Low,1.038
S0283,Medium,0.604
S0284,Low,-0.638
S0285,Low,-1.085
S0286,Low,-0.054
S0287,Low,-0.922
S0288,Low,-0.868
S0289,High,0.93
S0290,Low,0.097
S0291,Medium,1.139
S0292,High,0.516
S0293,Medium,-0.737
S0294,Low,0.459
S0295,Low,-1.366
S0296,High,1.153
S0297,Low,-0.756
S0298,Low,-1.057
S0299,High,1.234
S0300,Low,0.356
S0301,Low,0.214
S0302,Medium,1.18
S0303,Low,-0.632
S0304,High,-0.415
S0305,Medium,-0.785
S0306,High,0.525
S0307,High,-0.255
S0308,Medium,0.26
S0309,Low,-0.442
S0310,Low,0.785
S0311,Low,-2.008
S0312,Low,-0.883
S0313,Low,-0.197
S0314,Medium,-0.073
S0315,Low,0.005
S0316,Low,-0.57
S0317,High,1.476
S0318,Medium,0.744
S0319,Medium,0.97
S0320,Low,-0.621
S0321,Medium,-0.776
S0322,Low,-1.577
S0323,High,0.833
S0324,Medium,0.495
S0325,Medium,0.346
S0326,Low,0.413
S0327,High,-0.268
S0328,Low,-0.937
S0329,Low,0.14
S0330,High,-0.684
S0331,Medium,0.025
S0332,Low,-0.067
S0333,Low,-1.254
S0334,High,2.101
S0335,High,1.163
S0336,Medium,1.626
S0337,Low,0.177
S0338,Medium,0.024
S0339,Medium,-0.194
S0340,Low,-0.82
S0341,Medium,0.154
S0342,Low,-0.496
S0343,High,0.781
S0344,Medium,-0.43
S0345,High,1.862
S0346,Medium,0.083
S0347,Low,-1.191
S0348,High,1.758
S0349,Low,-0.165
S0350,Medium,1.59
S0351,High,0.786
S0352,Medium,0.354
S0353,Low,-2.069
S0354,Low,0.049
S0355,High,0.333
S0356,Medium,0.479
S0357,High,-0.245
S0358,High,1.911
S0359,Medium,0.255
S0360,Low,-0.061
S0361,Low,0.227
S0362,Medium,0.296
S0363,Medium,-0.275
S0364,High,0.502
S0365,Medium,0.32
S0366,Medium,-0.702
S0367,High,0.941
S0368,High,0.552
S0369,Low,-1.287
S0370,Low,-0.309
S0371,Medium,-0.178
S0372,Medium,1.217
S0373,Medium,0.389
S0374,Medium,0.184
S0375,Medium,0.234
S0376,Low,0.252
S0377,High,0.803
S0378,Medium,0.236
S0379,Low,-0.204
S0380,Low,0.095
S0381,Low,-0.377
S0382,Low,-0.461
S0383,Medium,-1.956
S0384,Medium,0.8
S0385,Medium,-0.918
S0386,Low,0.093
S0387,Low,0.384
S0388,Medium,0.734
S0389,Low,-0.31
S0390,Medium,1.229
S0391,Medium,-0.638
S0392,High,0.837
S0393,Medium,-0.183
S0394,Medium,0.109
S0395,Low,-0.515
S0396,Low,-0.325
S0397,High,-0.278
S0398,Low,-0.775
S0399,Medium,0.317
S0400,Low,0.27
S0401,Medium,0.734
S0402,Low,-0.183
S0403,High,0.731
S0404,Medium,-0.248
S0405,High,1.487
S0406,Medium,-0.027
S0407,Medium,0.991
S0408,Medium,0.549
S0409,Low,-0.831
S0410,Low,-0.752
S0411,Low,-0.349
S0412,Medium,0.736
S0413,Medium,-0.511
S0414,Medium,0.785
S0415,Medium,1.261
S0416,Low,-0.457
S0417,Low,-1.034
S0418,High,0.617
S0419,Low,-0.678
S0420,High,0.606
S0421,Low,0.133
S0422,Low,-0.792
S0423,Medium,-0.148
S0424,Medium,0.411
S0425,Medium,0.196
S0426,Low,-0.304
S0427,Low,0.301
S0428,Low,-2.584
S0429,High,1.951
S0430,Low,0.881
S0431,High,1.874
S0432,Medium,0.109
S0433,Medium,-0.482
S0434,Medium,-0.345
S0435,Low,0.3
S0436,Low,0.097
S0437,Low,-0.551
S0438,Low,0.78
S0439,High,0.98
S0440,Low,0.167
S0441,Low,0.96
S0442,Medium,0.098
S0443,Low,-0.759
S0444,Low,-0.778
S0445,High,0.654
S0446,Low,0.812
S0447,Medium,1.048
S0448,Low,-1.326
S0449,Medium,0.275
S0450,Low,0.155
S0451,Medium,1.06
S0452,Low,-1.467
S0453,Low,-0.079
S0454,Medium,-0.885
S0455,High,0.999
S0456,Low,0.438
S0457,High,1.55
S0458,Medium,-0.196
S0459,High,1.583
S0460,Low,-0.351
S0461,Low,-0.171
S0462,High,-0.355
S0463,Low,-1.016
S0464,Medium,-0.014
S0465,Medium,1.397
S0466,Medium,-0.331
S0467,High,-0.755
S0468,High,0.632
S0469,Medium,-0.449
S0470,Low,0.074
S0471,High,1.615
S0472,Medium,-0.402
S0473,High,0.984
S0474,High,2.071
S0475,High,0.639
S0476,Low,-1.202
S0477,Low,0.343
S0478,Medium,-0.021
S0479,Medium,0.125
S0480,High,1.99
S0481,Medium,0.314
S0482,Medium,0.911
S0483,Medium,0.505
S0484,High,1.05
S0485,High,0.799
S0486,Low,-0.393
S0487,Medium,-1.166
S0488,High,0.017
S0489,Low,-1.002
S0490,High,1.455
S0491,Low,-0.489
S0492,High,0.404
S0493,High,1.408
S0494,Medium,-0.316
S0495,Low,0.478
S0496,Low,-0.401
S0497,High,2.275
S0498,Low,-1.844
S0499,Medium,-0.215
S0500,Low,-1.889
S0501,Low,-0.06
S0502,Medium,-0.391
S0503,Low,-0.685
S0504,Low,-0.939
S0505,Medium,0.958
S0506,Low,-1.042
S0507,Medium,1.215
S0508,Low,-1.771
S0509,Low,-1.536
S0510,Low,-1.664
S0511,Low,0.08
S0512,Low,0.244
S0513,Medium,1.413
S0514,Low,-0.011
S0515,Medium,-1.229
S0516,Low,-1.159
S0517,Medium,0.259
S0518,Low,-1.544
S0519,Low,0.572
S0520,Low,-0.994
S0521,High,-0.099
S0522,Low,0.934
S0523,High,-1.038
S0524,Low,0.131
S0525,Low,0.365
S0526,Low,-1.501
S0527,High,1.342
S0528,Low,-0.355
S0529,Low,-1.808
S0530,Low,0.416
S0531,Low,2.334
S0532,High,1.578
S0533,Low,0.197
S0534,Low,-0.306
S0535,Medium,0.361
S0536,High,0.833
S0537,Medium,-0.734
S0538,Medium,-0.8
S0539,Low,-2.118
S0540,Medium,-1.063
S0541,Low,-0.439
S0542,Medium,0.906
S0543,High,1.94
S0544,Low,-0.744
S0545,Low,-0.834
S0546,Low,-0.363
S0547,Low,-0.215
S0548,Medium,0.867
S0549,High,1.629
S0550,Low,-1.246
S0551,Low,-0.973
S0552,Medium,0.214
S0553,High,1.202
S0554,Medium,-0.019
S0555,Medium,-0.222
S0556,Medium,2.004
S0557,Low,0.135
S0558,Medium,-0.703
S0559,Low,-1.971
S0560,Low,-1.097
S0561,Medium,0.663
S0562,Low,0.298
S0563,Low,-0.087
S0564,High,-0.362
S0565,High,-1.079
S0566,High,1.381
S0567,High,1.34
S0568,Medium,0.698
S0569,Low,-1.232
S0570,Medium,-0.239
S0571,Low,-0.058
S0572,High,2.469
S0573,High,0.027
S0574,Low,0.31
S0575,High,1.769
S0576,Low,-0.601
S0577,Medium,0.826
S0578,High,1.237
S0579,Low,-0.834
S0580,Low,-2.396
S0581,High,0.764
S0582,Low,-0.104
S0583,Low,0.468
S0584,Low,-0.872
S0585,Medium,-0.166
S0586,Medium,-0.709
S0587,Low,-0.149
S0588,Low,0.527
S0589,High,0.149
S0590,Low,-0.75
S0591,Medium,0.355
S0592,Medium,0.946
S0593,Medium,-0.373
S0594,Low,-1.095
S0595,Low,-1.304
S0596,Low,1.188
S0597,High,1.334
S0598,Low,0.37
S0599,High,1.585
S0600,Low,-0.729
S0601,High,0.028
S0602,Medium,0.249
S0603,Low,0.767
S0604,Low,-0.62
S0605,Medium,0.123
S0606,Low,-0.089
S0607,Medium,0.634
S0608,Low,-1.02
S0609,Medium,0.932
S0610,Low,-0.669
S0611,Medium,0.538
S0612,Medium,1.339
S0613,High,1.629
S0614,Low,-0.504
S0615,Low,-1.556
S0616,Low,-0.473
S0617,Low,-0.694
S0618,Medium,0.792
S0619,Low,-0.282
S0620,Medium,-0.295
S0621,Low,-0.377
S0622,Medium,1.149
S0623,Low,-0.88
S0624,Low,-1.235
S0625,High,1.688
S0626,Medium,-0.426
S0627,Low,-0.594
S0628,Low,-1.607
S0629,High,0.636
S0630,High,0.222
S0631,Low,-0.434
S0632,Medium,0.898
S0633,Medium,0.597
S0634,Low,-0.631
S0635,High,0.571
S0636,Low,-0.622
S0637,High,0.327
S0638,High,0.93
S0639,Low,-0.037
S0640,Medium,-0.61
S0641,Low,0.21
S0642,High,0.458
S0643,Low,-0.926
S0644,Medium,1.247
S0645,Low,-0.255
S0646,Low,-0.029
S0647,Low,-2.043
S0648,Medium,0.027
S0649,High,2.017
S0650,Medium,-1.144
S0651,Low,-0.815
S0652,Medium,1.509
S0653,Medium,0.048
S0654,Low,-1.117
S0655,Medium,0.332
S0656,Low,-0.73
S0657,Low,0.257
S0658,Low,0.139
S0659,Low,-0.463
S0660,Low,0.02
S0661,High,0.676
S0662,Low,0.643
S0663,Medium,0.898
S0664,Medium,0.044
S0665,High,-0.429
S0666,Low,-2.0
S0667,High,1.712
S0668,High,0.643
S0669,Low,-0.919
S0670,Medium,1.428
S0671,High,0.389
S0672,Low,0.073
S0673,Low,0.253
S0674,Low,0.902
S0675,Medium,0.673
S0676,Low,0.875
S0677,Medium,0.119
S0678,Medium,-1.014
S0679,Medium,0.501
S0680,Low,-0.336
S0681,High,0.294
S0682,Medium,-0.215
S0683,Low,-0.383
S0684,Medium,0.391
S0685,Medium,0.464
S0686,Low,0.11
S0687,Low,-0.765
S0688,Low,-1.625
S0689,Low,-0.118
S0690,High,1.058
S0691,High,-0.871
S0692,Low,-1.204
S0693,Low,-0.141
S0694,Low,-0.116
S0695,Medium,-0.78
S0696,Low,-0.145
S0697,High,1.14
S0698,Low,-0.844
S0699,Low,-3.008
S0700,High,-2.094
S0701,High,-1.41
S0702,Low,-0.031
S0703,Medium,0.686
S0704,High,0.851
S0705,High,1.16
S0706,Medium,-0.039
S0707,Medium,-0.201
S0708,Medium,0.031
S0709,Low,0.496
S0710,Medium,0.179
S0711,Low,-1.764
S0712,Medium,-1.345
S0713,Low,-1.885
S0714,Low,-0.387
S0715,Medium,0.945
S0716,Low,-2.143
S0717,Low,0.555
S0718,Low,-0.53
S0719,Low,-0.186
S0720,Low,-1.052
S0721,Medium,0.099
S0722,Low,0.668
S0723,High,0.247
S0724,High,0.842
S0725,Medium,-0.568
S0726,Low,-0.651
S0727,Medium,1.507
S0728,Low,-0.901
S0729,Low,-1.324
S0730,Low,0.66
S0731,Low,-0.983
S0732,Medium,1.423
S0733,Medium,-1.142
S0734,Medium,0.088
S0735,Medium,0.441
S0736,Medium,0.088
S0737,Medium,0.223
S0738,High,1.218
S0739,High,-1.319
S0740,Low,-0.125
S0741,Medium,-1.264
S0742,Low,-1.649
S0743,High,1.605
S0744,Low,-2.388
S0745,Low,-0.497
S0746,High,1.659
S0747,High,2.123
S0748,High,-0.078
S0749,High,1.032
S0750,Low,-1.508
S0751,Low,0.03
S0752,Low,1.564
S0753,Medium,1.053
S0754,Medium,0.087
S0755,Low,-0.244
S0756,High,-0.55
S0757,Low,-0.524
S0758,Low,0.215
S0759,Medium,-1.012
S0760,Low,0.948
S0761,Medium,1.251
S0762,Medium,0.098
S0763,Low,-0.753
S0764,Low,-1.029
S0765,Medium,0.028
S0766,Low,-1.576
S0767,Low,-1.214
S0768,Low,-0.554
S0769,Low,-0.373
S0770,Medium,0.437
S0771,High,0.478
S0772,Low,-0.581
S0773,Low,-0.416
S0774,High,0.684
S0775,Medium,0.266
S0776,Low,-1.022
S0777,Medium,-0.54
S0778,Low,-1.574
S0779,Medium,0.193
S0780,Low,-1.402
S0781,Medium,-0.768
S0782,Medium,0.656
S0783,Low,-0.044
S0784,Medium,0.17
S0785,High,0.119
S0786,High,-0.385
S0787,Medium,-0.852
S0788,High,-0.473
S0789,Low,-2.114
S0790,High,0.676
S0791,Medium,-1.941
S0792,Medium,-0.176
S0793,Low,-0.003
S0794,Low,-0.543
S0795,High,0.946
S0796,High,0.113
S0797,Medium,0.084
S0798,Low,-0.99
S0799,Medium,1.274
S0800,Low,-0.993
