Enrolled,Total_Spend,Prior_Spend,Months_Customer,Age,Store_Visits
0,946.56,468.03,29,51,11
0,672.79,325.35,8,48,16
0,949.39,567.41,23,32,11
1,1158.84,747.09,17,54,10
0,883.27,567.48,27,32,11
1,1144.23,551.28,23,26,10
0,1049.67,623.63,27,22,7
0,1037.62,670.17,22,38,19
0,974.31,706.94,14,50,12
0,857.08,588.59,12,54,2
0,919.15,657.17,19,33,9
0,892.47,373.39,15,43,10
0,886.71,549.7,19,28,12
0,1148.19,887.04,19,28,14
0,874.41,496.39,17,40,9
0,1045.89,564.71,40,62,11
0,732.11,238.36,21,43,12
0,832.97,712.84,12,31,12
0,737.96,408.32,20,58,13
1,1189.61,655.33,14,29,13
0,899.35,657.28,9,40,11
0,1251.77,852.43,24,48,11
0,855.01,502.5,21,41,18
1,1542.19,1099.93,22,28,19
0,806.52,334.15,15,43,12
1,1043.73,323.21,29,30,16
0,1006.05,626.78,3,40,14
0,938.64,465.46,30,52,9
1,1288.72,679.58,27,39,4
0,890.8,524.29,7,54,13
1,956.14,569.46,25,56,6
1,1192.14,666.01,19,36,14
0,1069.14,745.3,8,45,9
1,1310.03,875.16,24,35,14
1,1209.43,704.53,32,25,15
1,1013.33,569.94,21,36,14
0,1126.42,733.44,15,40,10
0,868.03,540.32,15,48,12
0,1312.41,891.98,20,30,6
1,1172.7,756.78,17,27,19
1,1424.05,1125.47,25,38,8
1,1032.01,659.24,26,45,6
0,797.84,545.39,6,35,2
0,997.86,594.43,10,35,16
0,944.53,453.22,7,40,10
0,834.0,669.06,15,54,10
0,915.59,631.31,14,26,11
0,725.38,372.45,15,58,13
0,1151.09,878.05,40,49,8
0,1064.53,857.31,16,49,10
0,1025.98,618.94,10,34,5
0,898.82,466.03,18,46,10
1,1188.55,626.34,22,38,8
1,913.45,423.87,19,23,12
1,1312.19,996.57,30,55,6
0,1190.48,798.79,17,43,12
1,1008.31,612.52,14,44,7
0,944.85,550.04,15,30,8
1,1514.46,971.33,19,36,17
0,910.92,548.36,26,38,18
0,928.24,443.21,10,30,6
